"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","lg_debt_repay","g_share_current","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","bank_NW","bank_R","bank_new_loans","bank_dep_int_total","bank_loan_int_total","bank_profit","bank_dividend","bank_bad_debt","bank_headroom","total_M","sfc_check","period"
0.96,9.61385391427965,13.2100616809377,0,221606.026874635,1961.27428052964,0.727767526487221,0.192412528710023,1284.52230012312,30,1470,0,0,92015.2604643133,318946.694395661,57.6557295087747,6,1575.62332353031,1627.27905303909,6509.11621215634,0.9,0,0,3,6,89.4578030815685,206.246825112845,9.31491131274229,7.45192905019383,59.9688981150717,22583.8557324199,1709.59502520785,22583.8557324199,59.9688981150717,0.374,0,0,1,0,0,0,9.61385391427965,0,0.999481635251194,0.999481635251194,1500,0,0,2.88278647543873,0,0,1,0,0,0,4648.65507630572,5.82076609134674e-11,0,322.798178262735,1647.2112956272,1324.41311736447,662.206558682234,0,56823.6661536984,315582.561619478,5.82076609134674e-11,1
0.68,11.4293142352374,16.615277160695,927.794771205505,225970.831091732,498.497181156691,0.687879842430465,0.190182536355696,3857.09328467607,60,1440,30,0,84593.9239042712,312567.760507747,548.341451290513,88.0259119054147,1134.41793259321,1594.7334719783,6378.93388791321,0.9,0,0,21,88.0259119054147,91.9508599508209,209.946532406221,11.0286613526581,8.82292908212652,479.776998769135,27279.699800111,1641.84440236987,26351.9050289055,479.776998769135,0.452973661597404,0,0.12499327451904,1,0,0,927.794771205505,11.4293142352374,0,0.999535414102364,0.999535414102364,1500,0,0,30.1557197161925,0.5,0.5,1,0,927.794771205505,0,5305.28038592151,227.697709610162,2589.04751986809,318.171609139346,1631.42222837093,1313.25061923159,656.625309615794,0,62458.9115393429,311063.25217716,227.697709610162,2
0.578,11.7042016057027,16.8315024375208,7963.7568775774,226238.194736535,6195.599955732,0.695374738479181,0.189982876553011,10036.8548933015,75,1425,15,0,77872.4719683777,306316.405297593,1127.25769550456,119.109542608708,554.690649642881,1562.83880253874,6251.35521015495,0.9,436.756405025341,0,24,119.109542608708,92.4863007317335,210.970607268182,11.3628817840168,9.09030542721342,632.937167074639,29723.8317646611,1765.96426106327,21760.0748870837,632.937167074639,0.438219326243861,6,0.707636413482614,1.00016751698205,0.016751698204831,-0.330287672828267,7962.42303650053,11.70224128156,0,0.999998979585141,0.999900737874628,1500,0,0,85.010818505611,1.2,1,1,0,7963.7568775774,0,5962.12649093887,55.2622771101887,6466.79975673531,317.530051933895,1631.2222619686,1313.69221003471,656.846105017354,0,64489.7262434343,310306.266660644,55.2622771101887,3
0.43,11.9662491379656,17.0023469069327,10756.5084143766,226445.179936913,8726.62145890405,0.703799846189844,0.192729423069757,13269.0429831017,90,1410,15,0,71517.0915120826,300190.077191641,1332.03643703528,107.379232858958,306.924822311645,1531.58202648796,6126.32810595185,0.9,335.174140727949,0,21,107.379232858958,92.0935253913373,211.742907165588,11.7605763957693,9.40846111661543,838.642717726973,32514.0787603418,1912.32886485126,21757.5703459652,838.642717726973,0.4220243520746,6,0.703561443392859,1.0069144891572,0.674584213203588,-0.734242349954168,10682.6433924691,11.8840768176665,0,0.999576548112697,0.999570912118856,1500,0,0,147.362099432094,1.83333333333333,2,1,0,10756.5084143766,0,6652.19592666899,52.8845450751251,3621.12550122592,313.92739216187,1694.06626362212,1380.13887146025,690.069435730123,0,69883.4061002606,306688.8929079,52.8845450751251,4
0.342,11.8531407609412,16.4393860282489,13961.8959484856,225492.312807577,11330.8277224284,0.721020890961083,0.193481058252915,15940.7239445261,105,1395,15,0,65720.7119289942,294186.275647808,1808.7360966394,79.3838906714427,-135.904869232351,1500.9503859582,6003.80154383281,0.9,847.424986455466,0,15,79.3838906714427,91.5695211195656,211.352370770127,11.7815739263855,9.42525914110843,942.136746642266,34083.0209692108,2073.25388616361,20121.1250207252,942.136746642266,0.395889875754725,10,0.796630113583848,0.983324755528441,-2.34277427554975,-1.17005261262123,14198.6621103446,12.0541466024328,0,0.99975109793041,0.999728178401388,1500,0,92.496950777407,230.43079929246,2.42857142857143,3,1,1,14054.392899263,0.00658135512792286,7354.07253291958,-126.825403571478,3182.98942268931,309.871882330589,1713.62509483177,1403.75321250118,701.876606250588,0,75985.1827169686,302543.852459,-126.825403571478,5
0.218,11.875649483889,16.2705265884212,15409.1898461843,225110.122787339,12880.8252458885,0.729887223953781,0.195754490424077,18235.7341881069,120,1380,15,0,60157.3596091699,288302.550134852,1843.88760658768,42.4136661349879,-254.652481202892,1470.93137823904,5883.72551295616,0.9,652.007533551405,0,8,42.4136661349879,91.4451897496407,212.237308232894,11.7881677454586,9.43053419636686,1114.70613158428,36149.872325265,2221.80100495276,20740.6824790807,1114.70613158428,0.378488513203732,18,0.758155491481942,0.963463823821972,-2.01977338562951,-1.41001287970457,15993.5323622816,12.325994178774,0,0.999734154655744,0.999699907105529,1500,0,75.8900810107617,311.103639657221,3,3.5,1,1,15485.079927195,0.00490085174681488,8063.6251279979,-215.764673507307,2879.57996495396,305.423432423954,1724.5286225806,1419.10519015665,709.552595078325,0,82559.5799118669,298148.307642397,-215.764673507307,6
0.118,12.0236017133055,16.2003125545516,17915.3083607707,224068.616516878,15115.840937287,0.742183317316766,0.195094093668624,20867.0256369613,135,1365,15,0,55046.6652772329,282536.499132155,2114.00005551937,31.8280529127382,-595.199311150866,1441.51275067426,5766.05100269703,0.9,514.007330667106,0,6,31.8280529127382,91.6220636546639,211.475901036355,12.0624733324899,9.6499786659919,1227.66910772207,38015.0019945646,2346.55978806311,20099.6936337939,1227.66910772207,0.35647886832362,25,0.787036932810803,0.942469452715468,-2.17905131333531,-1.70127383437364,19008.9008287247,12.7575505801942,0,0.999529064336058,0.999573726786299,1500,0,45.4599407815106,401.248460450328,3.55555555555556,4,1,1,17960.7683015523,0.00253106882836308,8778.02912483064,-298.26523666369,3304.16525797181,301.452472900369,1730.26046656584,1428.80799366547,714.403996832735,0,88858.3384234216,294231.122731398,-298.26523666369,7
0.0686666666666667,12.1511952568237,16.1546587694754,19644.8290756854,222836.331146188,17320.6417319172,0.752179011034497,0.193778507356311,23544.9015625267,150,1350,15,0,50245.3127313971,276885.769149512,2354.53933282517,32.5686779977227,-794.330771530054,1412.68249566077,5650.72998264309,0.9,719.753840076861,0,6,32.5686779977227,92.3013562191401,210.600987119725,12.2526030508306,9.80208244066451,1328.81696143979,39192.2916734042,2426.06744176231,19547.4625977187,1328.81696143979,0.340522280293733,42,0.77246488676579,0.931319571274285,-1.18304963721186,-1.36644511603556,21093.5426266262,13.0472886339087,0,0.999552146515061,0.999399022998546,1500,0,114.957387636617,498.91300406907,4.1,4.5,1,2,19759.786463322,0.00581774443008278,9499.84190413556,-423.006791988621,3450.01825970127,297.681140991099,1741.30669960095,1443.62555860985,721.812779304924,0,95203.1222391678,290402.285609502,-423.006791988621,8
0.0446666666666666,12.035185122207,15.7040526230956,21390.3995561532,220926.937137575,20082.9099868615,0.76637447740764,0.192584961442375,26224.9061192652,165,1335,15,0,45607.2914141948,271348.053766521,2453.74925325715,27.5683568643689,-849.44875305651,1384.42884574756,5537.71538299023,0.9,1203.27148719749,0,5,27.5683568643689,91.939427449134,208.450062988407,12.2526030508306,9.80208244066451,1363.3399617576,39611.6402660827,2522.38331192464,18221.2407099295,1363.3399617576,0.332502435265922,68,0.731882365855544,0.92403925470501,-0.781720560141774,-0.606214620685606,23148.7996286282,13.0245387962972,0,0.999788266272178,0.999497093037198,1500,0,192.303297588716,596.654816528474,4.63636363636364,5,1,3,21582.7028537419,0.00891006556926097,10229.4053146975,-705.982216409,3572.78848539903,293.975074094901,1753.10189521881,1459.12682112391,729.563410561953,0,101642.660314454,286617.138538631,-705.982216409,9
0.0233333333333333,12.2965483410951,15.9674561777142,21693.067147766,219658.736409842,20817.9299508436,0.770100647481808,0.19516703253344,27801.0229998661,180,1320,15,0,41335.7186710954,265921.092691191,2672.27308877306,16.5410141186214,-1109.78104081681,1356.74026883261,5426.96107533043,0.9,1245.54801700931,0,3,16.5410141186214,90.7728687179854,208.36024574875,12.5450107899281,10.0360086319425,1403.6203070894,40272.5301018729,2522.16318326781,18579.4629541069,1403.6203070894,0.335717215042871,99,0.688469260125559,0.917860844717147,-0.668630683859339,0.510381969931664,23634.3747231652,13.3969636158567,0,1.00012531585744,0.999875389028958,1500,0,189.210765005025,700.435730140704,5.16666666666667,5.5,1,2,21882.277912771,0.00864675815558477,10967.4726866731,-821.757456986234,2479.67386306546,289.096812401696,1765.23155635287,1476.13474395117,738.067371975586,0,109292.385583548,281812.385031781,-821.757456986234,10
