"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,67919.38,15838.39,117.3797,0,1,407,22.4047,0,0,55
2,63751.82,19080.91,69.5745,0,1,407,22.4047,0,0,32
3,66683.72,46940.12,19.0637,0,1,176,21.1104,0,0,12
4,69193.14,21395.87,127.8863,0,1,178,22.3299,0,0,108
5,20834.88,86383.19,134.6546,0,1,1317,19.8009,0,0,61
6,53221.61,29861.99,63.8738,0,1,401,11.2825,0,0,49
7,61366.88,67568.43,80.9595,0,1,1394,19.0586,0,0,6
8,71084.35,18866.54,73.7519,0,1,1450,19.7607,0,0,31
9,35932.11,63778.71,229.7439,0,1,1471,19.5417,9,0,3
10,56594.67,59751.57,36.2103,0,1,1167,16.6515,0,0,4
11,28852.19,73162.42,58.9517,0,1,539,18.5086,0,0,44
12,69410.28,45248.74,220.6327,0,1,134,17.8765,12,0,1
13,30440.07,68796.78,78.2079,0,1,359,13.1737,0,0,9
14,58163.44,37066.07,68.1479,0,1,1382,19.346,0,0,83
15,26854.95,80517.05,14.0639,0,1,854,22.1043,0,0,7
16,59227.63,67833.16,113.6246,0,1,52,18.1696,0,0,52
17,25602.51,77276.41,70.8319,0,1,17,20.6627,17,0,5
18,49668.27,58701.95,63.4073,0,1,714,18.6408,0,0,5
19,55284.09,28608.29,98.866,0,1,1316,15.4388,0,0,163
20,60550.97,62093.4,101.14,0,1,1167,16.6515,0,0,53
21,68862.75,46734.92,71.225,0,1,1384,17.7684,0,0,169
22,55006.92,43393.03,143.9666,0,1,797,22.8153,22,0,4
23,70612.43,14820.86,79.2109,0,1,1496,17.9033,0,0,16
24,55850.58,67821.32,118.9609,0,1,24,18.7429,24,0,8
25,52028.03,26630.44,101.9097,0,1,1221,20.312,0,0,33
26,60793.98,68157.81,91.6387,0,1,743,19.4949,0,0,19
27,66461.16,60841.59,24.9035,0,1,27,22.5349,27,0,5
28,56705.67,24798.42,63.9426,0,1,75,20.6646,0,0,40
29,25811.83,84603.29,159.8007,0,1,263,19.8877,0,0,86
30,49718.88,53975.47,96.837,0,1,947,19.9143,0,0,11
31,45632.05,56656.78,80.0213,0,1,1343,21.258,0,0,14
