"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,58400.06,73330.69,6.3086,0,0,0,6.253,0,22,0
2,26781.68,80642.1,6.2751,0,0,0,6.253,0,3,0
3,54801.17,24372.44,22.7603,0,1,636,11.7092,0,0,3
4,63803.44,64312.51,26.9854,0,1,733,13.053,0,0,16
5,58191.16,36754.33,43.1741,0,1,1230,11.413,0,0,14
6,58140.54,52264.58,77.1506,0,1,225,13.8962,0,0,56
7,65860.15,35522.57,125.226,0,1,7,10.3214,7,0,13
8,26007.07,71268.74,46.1985,0,1,1169,13.6622,0,0,1
9,25570.36,86462.24,68.5362,0,1,1216,13.4202,0,0,3
10,58048.75,35391.38,151.5159,0,1,236,11.8671,0,0,18
11,20824.32,86207.79,95.6191,0,1,136,17.5112,0,0,11
12,38214.23,62943.89,6.3098,0,0,0,6.253,0,27,0
13,68689.99,44942.54,328.6645,0,1,755,9.252,13,0,202
14,20834.81,86280.06,109.2158,0,1,136,17.5112,0,0,34
15,19396.77,82442.85,8.3216,0,1,545,16.1193,0,0,1
16,23136.99,80351.66,6.859,0,0,0,6.253,0,20,0
17,46081.62,51388.08,6.3103,0,0,0,6.253,0,29,0
18,54186.3,28474.69,188.0104,0,1,18,11.2981,18,0,109
19,52902.27,27205.38,64.06,0,1,990,13.1953,0,0,10
20,31262.8,70682.25,6.2924,0,0,0,6.253,0,8,0
21,56010.96,31477.04,79.207,0,0,0,6.253,21,0,73
22,57429.79,47574.56,6.3056,0,0,0,6.253,0,16,0
23,68807.59,46159.42,22.0332,0,0,0,6.253,0,2,0
24,61903.78,66681.39,6.29,0,0,0,6.253,0,7,0
25,67633.7,42664.48,22.8768,0,1,531,12.0766,0,0,4
26,26205.42,66747.41,6.3109,0,0,0,6.253,0,33,0
27,23876.12,81715.66,6.3083,0,0,0,6.253,0,21,0
28,52865.7,40172.18,196.9404,0,1,155,13.8413,0,0,14
29,68953.82,41133.38,11.9815,0,1,29,12.9922,29,0,12
30,56604.82,64296.6,16.0991,0,1,556,16.372,0,0,65
