"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","bank_NW","bank_R","bank_new_loans","bank_dep_int_total","bank_loan_int_total","bank_profit","bank_dividend","bank_bad_debt","bank_headroom","total_M","sfc_check","period"
0.96,9.97252651119626,13.6854043034495,0,223097.114220266,1954.9898867766,0.728697982907427,0.192386309620265,1293.05975762236,30,1470,0,0,98517.0146002709,326954.281596477,59.7860082533131,8,1582.98539972907,1634.77140798239,0.0845207767267624,0,4,8,90.6149926942115,208.104332170128,9.62248621428556,7.69798897142845,60.0268738964719,22750.5561829614,1662.39562080216,22750.5561829614,60.0268738964719,0.374,0,0,1,0,0,0,9.97252651119626,0,1.00044789827453,1.00044789827453,1500,0,0,2.98930041266566,0,0,1,0,0,0,4678.22264678628,0,0,324.278985546224,1654.83612835928,1330.55714281306,665.27857140653,0,57184.7233272062,323569.118707313,0,1
0.464,11.2941050773038,16.4811041042409,961.754388808542,230325.432281657,164.540348051639,0.685275998857237,0.189186221954075,6888.37307967155,105,1395,75,0,97845.5351715215,326954.281596477,934.056865375584,69.281900742856,769.996443349658,1634.77140798239,129.425870391689,0,16,69.281900742856,94.3822604863527,213.673851412045,11.2808752809231,9.0247002247385,803.973048072721,30965.4922996128,1878.84817083613,30003.7379108043,803.973048072721,0.45902221806611,7,0.0714588128377339,1,0,0,961.754388808542,11.2941050773038,0,1.00002450817,0.99996647770239,1500,0,0,49.5426786608116,0.285714285714286,0,1,0,961.754388808542,0,5357.5236819605,532.297420547751,5523.27820143422,329.092396908747,1687.69446725717,1358.60207034843,679.301035174213,0,60080.6729448347,328335.50780123,532.297420547751,2
0.256666666666667,11.519919985472,16.6606906024325,13765.7633702813,231069.388125563,10751.4978187896,0.691443125640305,0.187740562927698,19443.062456966,142,1358,37,0,98235.7791720329,326954.281596477,2048.02631827353,81.2223020226465,-292.398465339851,1634.77140798239,869.291287007313,0,16,81.2223020226465,95.4639089156041,214.040160036855,12.0002588240617,9.60020705924934,1114.8809197111,35950.4873567297,2157.80295154637,22184.7239864484,1115.09865911631,0.454844297351212,28,0.566039221515724,1.00137825910234,0.137825910234124,0.250001713622827,13746.8166950431,11.5040644039932,0,0.999974637346025,0.999893201534623,1500,0,39.6341429286493,149.466860641448,0.950704225352113,1,1,1,13805.3975132099,0.00287091645790892,6063.62252753007,66.5283497317578,13043.4865510373,341.378994352267,1753.57668549142,1412.19769113916,706.098845569578,0,56352.21913716,340056.665116386,66.5283497317578,3
0.0746666666666667,11.740175759392,16.7904359728461,19493.9722160797,230803.954801227,15977.971699235,0.699218041650527,0.18388489484937,26468.5661443034,179,1321,37,0,99295.3232032542,326954.281596477,2764.25419678226,48.6010482374498,-961.308252049263,1634.77140798239,1318.09774138044,0,9,48.6010482374498,96.9140058649458,213.154726905838,12.5144068648497,10.0115254918798,1364.10817453444,40042.2640089922,2384.8257468567,20548.2917929126,1368.71412356471,0.454336638974743,65,0.620628953873074,1.01384393193442,1.24485155522058,0.301966215544487,19227.7840819988,11.5798648979352,0,0.999610129374924,0.999569971139934,1500,0,119.573488513158,280.206227448488,1.54748603351955,2,1,4,19613.5457045928,0.00609647487068889,6861.02075923662,-126.792152150709,7756.25276861574,347.812917885001,1942.60938129809,1594.79646341309,797.398231706544,0,59294.1933461543,346077.249703716,-126.792152150709,4
0.048,11.8471245065111,16.9510551963396,21246.6640218398,228901.22643006,18076.8535994644,0.69890188954546,0.183438514773753,28995.8611920855,191,1309,37,25,100560.9148002,326954.281596477,3037.80876306175,50.6253428078932,-1166.29627374273,1634.77140798239,1623.2791787852,0,9,50.6253428078932,96.3526472306865,211.197378574736,12.8031871428372,10.2425497142698,1413.88596735994,40990.7748675666,2418.18426008182,19744.1108457269,1413.88596735994,0.47485928710242,104,0.555105761381137,1.01249887636917,-0.132668897340571,1.01905228596083,20984.3828153475,11.7008766952859,0,0.999634878422214,0.9994900425031,1500,0,186.115738528743,418.086354229151,1.86387434554974,2,1,6,21432.7797603685,0.008683695750604,7667.82097670201,-453.56046584947,7403.64364578876,349.466834021434,1988.48558500997,1639.01875098854,819.509375494269,12.7091580288722,66851.9010166897,347538.994829724,-453.56046584947,5
0.00466666666666671,12.2432756993022,17.4381718908565,25427.560777961,226067.542062335,22738.6932215247,0.702096284858956,0.183156860912415,34117.3629326202,226,1274,37,2,102575.766826038,326954.281596477,3900.81590504631,17.2843026428302,-1914.29111103777,1634.77140798239,2378.47144528893,0,3,17.2843026428302,95.6996926133839,208.660529748257,13.2339166348307,10.5871333078646,1449.9847761055,42132.0584829386,2416.08230189714,16704.4977049777,1457.51987431554,0.486469614161111,155,0.562265873472594,1.0151295763595,0.259822509608298,1.09428913324217,25048.5862791529,12.0608008912611,0,0.999684618144843,0.99999342851398,1500,0,334.469083383321,592.222831770009,2.37610619469027,3,1,13,25762.0298613443,0.0129830252190333,8533.421125226,-836.189254653,6318.61177427778,353.674698267685,2084.87499531565,1731.20029704796,865.600148523982,0,72550.4011327047,351382.002109897,-836.189254653,6
0.0386666666666666,12.3675883769259,18.6097806246449,19288.5255709,225240.790971721,17537.9667560841,0.664574646331271,0.188060414708559,30288.4960455097,204,1296,37,59,103674.386206395,326954.281596477,2866.09379802081,23.6797523307843,-996.043613531148,1634.77140798239,1421.18398757923,0,4,23.6797523307843,93.9580828606349,209.657978901587,13.3905897911753,10.7124718329403,1433.49964716276,41522.9185727974,2231.2417008188,22234.3930018974,1433.49964716276,0.549406916624696,137,0.437476469557909,1.05152634030326,3.58543035208172,0.877535158016463,18343.3593925353,11.7615583204118,0,1.00024298590575,1.00013717408787,1500,0,211.599024176488,705.916380082549,2.29411764705882,2,1,5,19500.1245950765,0.0108511626756433,9333.87850248976,-1112.59514214675,7842.98098267983,348.442422792416,2002.93901887275,1654.49659608034,827.248298040169,26.7909207764027,86384.9852356123,346453.1439342,-1112.59514214675,7
0.0526666666666666,12.7153297106174,19.2535023473634,21527.2027414959,222121.950695655,18450.0985718927,0.660416452093386,0.196274774088779,30129.0890628286,195,1305,37,46,104806.073592592,326954.281596477,3181.50308967819,73.394301750796,-1028.01299998999,1634.77140798239,1675.6350257619,0,12,73.394301750796,90.3437283949355,209.052953413461,13.8530626564845,11.0824501251876,1406.63548083589,41682.5720860899,2164.93453160215,20155.369344594,1406.63548083589,0.562848296399784,116,0.499815151952849,1.05693129238702,0.514010146640809,0.940288732820362,20367.6463139605,12.0304222253658,0,1.00038707670532,1.00054386091687,1500,0,445.324379955025,829.695715562331,2.1948717948718,2,1,7,21972.5271214509,0.0202673264433144,9754.35636691591,-1680.63663106435,8488.60335816875,347.612307860721,1991.99510687607,1644.38279901535,822.191399507673,401.713535081526,91800.3655236202,345378.12286014,-1680.63663106435,8
0.0506666666666666,12.8348980176184,19.4428935163484,22625.8363365534,218808.004609856,19298.2638915961,0.660133123026485,0.202480429859018,30150.5762182485,193,1307,37,39,106047.397638999,326954.281596477,3235.80305232632,93.0160383260294,-1136.51797281437,1634.77140798239,1728.50195972904,0,15,93.0160383260294,87.0770520015119,208.190129015641,13.9517157148155,11.1613725718524,1409.27444132566,41609.403681552,2140.0828866632,18983.5673449986,1409.27444132566,0.580155116191947,114,0.480485169103432,1.05863381505964,0.161081679092057,1.14717420824056,21372.6748708463,12.1240204450633,0,1.00054021387988,1.00064632246083,1500,0,371.497633203536,950.001082400531,2.18652849740933,2,1,9,22997.3339697569,0.0161539434828437,10578.9178048813,-2157.47038290126,8349.28570880836,346.331528294421,1995.45440422527,1649.12287593085,824.561437965424,0,102085.896342768,344153.666140451,-2157.47038290126,9
0.0453333333333333,12.9463888370435,19.6319076047359,22388.3491955268,216077.902038944,18887.9514005741,0.65945648775977,0.205890845550305,29552.1172368608,193,1307,37,37,107603.689710628,326954.281596477,3365.44785184942,87.9697092767612,-1450.24467399012,1634.77140798239,1899.48491488383,0,14,87.9697092767612,85.6656129012515,206.826048499064,14.3253683020405,11.4602946416324,1387.63719212782,41539.1193662363,2115.89827145557,19150.7701707095,1387.63719212782,0.586775100114655,130,0.457255231465479,1.06055099006549,0.181098976678928,0.269843388664763,21110.1110698546,12.2072290331312,0,1.00022426971101,1.00029545807376,1500,0,192.462060600154,1070.77342087298,2.2020725388601,2,1,4,22580.811256127,0.00852325713266533,11310.3938771688,-2337.86813590716,7736.98759529778,344.525122060766,1995.12499722572,1650.59987516496,825.299937582478,93.8238652949936,111827.806227749,342569.543150146,-2337.86813590716,10
