"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","period"
0.00566666666666671,16.7822059531402,34.4821543995825,85172.8393307141,218614.553885953,117950.3198924,0.486692500667632,0.315689580521077,27981.149133455,517,2483,45,6,136475.434774572,0,18252.7798478866,291.625848132858,-17068.6211530273,0,10804.1949823086,0,37,291.625848132858,34.8073641478138,126.462637313543,18.5432376584507,14.8345901267606,2831.55183948665,91345.5917579937,2649.06857905317,6172.75242727967,3207.29691944763,1.26448059547691,503,0.254201074934082,2.24886315484178,3.98122004791581,7.70512224687457,37873.7315106692,7.46252875236462,302.062510832231,1.0024946426139,0.996226326592117,3000,0,892.532846726429,5950.2189781762,5.52030947775629,6,1,312,86065.3721774405,0.0103704059384801,11
0.00266666666666671,17.5247428996638,37.8819446391207,87210.7022959989,222782.429765311,98622.278895037,0.462614658951959,0.306451717653157,29772.3679037985,542,2458,45,20,154189.915684118,0,18937.746025327,233.333266453372,-17714.4809095453,0,8986.32963408761,23875.8702384413,28,233.333266453372,37.3621218751683,127.660004552924,19.7104713157971,15.7683770526377,2966.51846132859,92081.5437778518,2430.7501807275,4870.84148185287,4121.65296553022,1.31255679618563,519,0.233328218649867,2.53748391234169,12.8340738243017,6.23310802466902,34368.9675713125,6.90634640654381,287.645948641176,0.956222835242645,0.951343485048507,3000,0,989.931849328259,6599.59533053373,6.05166051660517,6,1,329,88200.6341453271,0.0112236364162321,12
0.0023333333333333,18.30227460532,39.2940145020217,90889.5957560647,204805.725884938,106539.651204815,0.465777672179011,0.333849506944768,37064.5264021257,567,2433,45,20,172717.603297526,0,19980.5562762944,362.572156212941,-18527.6876134082,0,10320.9220049,0,41,362.572156212941,32.4598298033904,122.269200783635,20.9753410572452,16.7802728457961,2836.5887949076,96443.208715441,2454.39947884375,5553.61295937636,4922.73085111565,1.33958404126719,553,0.207324360109855,2.63163307278785,3.71033526511211,4.88510096202441,34537.336035141,6.95472130768262,283.640420692064,0.960484126279494,0.954701661321979,3000,0,1090.29650667326,7268.64337782177,6.55555555555556,7,1,340,91979.8922627379,0.0118536397450745,13
0.00366666666666671,18.9737644628401,41.7975187661263,91796.9141259748,187799.526203893,108837.552812445,0.453944756123106,0.355632842619826,36432.1459998245,569,2431,45,43,190685.393948524,0,19920.3166921815,767.341984652848,-17967.7906509977,0,8271.39285967681,0,82,767.341984652848,28.2693834980365,115.888601163321,22.1580379740762,17.726430379261,2841.57286065945,97265.9756525848,2327.07535097541,5469.06152660998,5436.94137558162,1.36081497099241,533,0.196443069434593,2.72822394445509,3.67037763227795,3.91688538200548,33647.133078113,6.95462133942593,294.579608137024,0.951368742737252,0.942503885593685,3000,0,1185.18405653096,7901.22704353976,7.01757469244288,7,0.896309314586995,333,92982.0981825058,0.0127463681686842,14
0.00166666666666671,19.7242870535758,42.3827115287736,92168.2075890381,174786.647835577,109444.310754916,0.465385208782241,0.378537347839956,38721.2912342811,579,2421,45,35,208881.580870255,0,20239.2030301696,765.297232008203,-18196.1869217307,0,8535.41408319429,0,77,765.297232008203,24.7855696715452,111.419232577613,23.4658051868167,18.7726441494533,2816.73889531423,98640.7885791713,2327.38267612265,6472.5809901332,6027.58154030911,1.35848991257728,536,0.180278585030303,2.73448516494846,0.229498040514486,-0.0381360447465684,33705.8722316291,7.21316294065452,265.628379095619,0.958534990258382,0.9468425140799,3000,0,1277.71887643069,8518.12584287125,7.40932642487047,7,0.747841105354059,329,93445.9264654688,0.013673350190421,15
0.0043333333333333,20.3064049476584,44.2315056868009,92559.5839615626,163654.928408725,107589.866111276,0.4590936851991,0.397785556758853,38499.1683212923,573,2427,45,51,226873.898276823,0,20415.2307299387,1055.96616028664,-17992.3174065683,0,7279.80788384276,0,101,1055.96616028664,21.8347252126876,107.110559808686,24.8630433604578,19.8904346883663,2816.54772569631,100022.774036629,2261.34680435437,7463.19007506661,6276.23817727,1.3738446620408,521,0.173025192316716,2.71097247954099,-0.859857852178825,-2.75927808220788,34142.5760165719,7.49045041987907,243.2878440485,0.945541070885202,0.932709096989652,3000,0,1366.94716308369,9112.98108722462,7.6457242582897,7,0.703315881326352,312,93926.5311246463,0.0145533657712715,16
0.0083333333333333,20.7962293809885,43.7767342311091,93474.113972495,154114.80007212,107053.136686548,0.475052096650234,0.415467842307516,38936.2494317973,571,2429,45,47,244581.599757609,0,20425.2946687009,1265.80367297022,-17707.7014807859,0,6859.48806928128,0,115,1265.80367297022,19.169011319572,103.403469181564,25.8906786832396,20.7125429465917,2729.9730356255,101243.96770252,2312.73459477415,7769.85373002477,6432.42942506994,1.37029517116848,505,0.170095502237252,2.52280297672579,-6.94103330945857,-4.5410291349168,37051.6900585753,8.24330301368947,227.509830257117,0.959873109035674,0.941434061085103,3000,0,1451.78951494477,9678.59676629844,7.87215411558669,7,0.665499124343257,301,94925.9034874398,0.0152939235931198,17
0.0166666666666667,21.1473688177404,43.1762378404353,94712.1143242352,146051.235170748,105817.938137902,0.489791836331222,0.432433256604741,41043.936541561,562,2438,45,54,262751.014376377,0,21394.1911754241,1685.12008364311,-18169.4146187678,0,7241.44039328217,0,148,1685.12008364311,16.9089203183188,100.210475219618,26.2602894701525,21.008231576122,2720.76365334839,102210.382772809,2367.28320680797,7498.26844857413,6393.03002184411,1.36334140238659,482,0.179292030853393,2.27316216363049,-9.89537492219447,-7.31924580636898,41665.3575532726,9.30306212028698,207.253473969053,0.982044171825803,0.96064560535635,3000,0,1539.65647301321,10264.3764867547,8.06049822064057,6,0.654804270462633,285,96251.7707972484,0.0159961365932316,18
0.0276666666666666,21.2693208326839,44.2880018078771,93011.8527641726,140193.670324458,101115.586516308,0.480250179833151,0.443809557810562,38260.8439364359,542,2458,45,65,279636.152288738,0,21018.9912954509,2513.53729901093,-16885.1379123616,0,6363.10708410017,0,217,2513.53729901093,15.1440442212082,97.5839868184894,26.7306895842939,21.3845516674352,2741.78958195897,102199.419984609,2307.6096417254,9187.56722043641,6091.67531904716,1.37398358745387,449,0.184983893777318,2.15408534532845,-5.23837763126664,-8.78738726212294,43179.2793010205,9.87394528207086,224.609330743902,0.977581062547332,0.959357530171427,3000,0,1620.31608407843,10802.1072271895,8.04981549815498,6,0.673431734317343,276,94632.168848251,0.0171222545546506,19
0.03,21.1015276657966,44.145495960957,93217.5254760633,135241.599084296,99119.9182827808,0.477999560463861,0.448673001047757,40897.9302212612,523,2477,45,64,295295.083816718,0,20911.2836034424,3556.21716856261,-15658.9315279795,0,6070.67620570206,0,303,3556.21716856261,13.8090470623267,94.4855879165401,27.1878856724558,21.7503085379646,2715.96041116097,101861.267961077,2307.39888053732,8643.74248501335,5695.35403062516,1.37110327178854,422,0.206184600976832,1.85980313808088,-13.6615853167464,-9.2570915212175,50122.2541070955,11.3461082163627,203.293874683734,0.983103731256755,0.967947646384946,3000,0,1696.13490690033,11307.5660460022,8.13193116634799,6,0.688336520076482,251,94913.6603829636,0.0178702928541229,20
