"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","lg_debt_repay","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","bank_NW","bank_R","bank_new_loans","bank_dep_int_total","bank_loan_int_total","bank_profit","bank_dividend","bank_bad_debt","bank_headroom","total_M","sfc_check","period"
0.0679999999999999,12.2335229968595,18.1360723461492,19607.3652336651,64203.3829850834,-11658.5243552492,0.674540923931474,0.271802141918307,91.2544589355133,189,1311,37,35,69441.9670946412,116729.601321503,3004.46879266206,1123.27156398699,-1017.68025368789,595.559190415832,2382.23676166333,1297.41656571731,0,199,1123.27156398699,19.529086762492,67.1385812519489,13.0142659169427,10.4114127335541,1338.91516298916,24950.440663917,1375.73561616359,5343.07543025187,1473.75442789246,0.525007778439385,80,0.513913234609396,1.02455246708604,1.46276533440175,0.340651198074327,19137.4925770576,11.9403577560583,0,0.999994260886952,0.999856712104581,1500,0,267.957784571345,998.75642410903,2.07936507936508,2,1,49,19875.3230182365,0.013481933567846,-5099.27318961943,12544.115791787,0,152.587834749413,596.975207882073,444.38737313266,0,771.008041203458,0,121986.825724475,12544.115791787,11
0.0526666666666666,12.2899338923219,18.3982918897476,19070.1029733847,64937.031177051,-11930.0529840298,0.667993200997666,0.264043384159257,73.7517599476192,195,1305,37,31,68164.1520797332,114395.009295073,2923.7229025002,1053.1129242325,-987.335044427477,583.648006607516,2334.59202643006,1167.42940077595,155.7705368424,184,1053.1129242325,20.5955411183943,67.3474209537121,12.9979506448165,10.3983605158532,1364.54062629445,24756.5667137634,1345.59049623291,5686.46374037867,1500.85782164244,0.525616271264561,83,0.486890159112535,1.02426360992374,-0.028193496338913,0.199371001417474,18618.3544827923,11.9987996969227,0,0.999909233769115,0.99970718542917,1500,0,299.626927232709,1095.00474802859,2.16923076923077,2,1,63,19369.7299006175,0.0154688231983636,-4665.80172478871,14731.0137382759,0,151.320965638055,584.792430468772,433.471464830717,0,0,0,121171.130272754,14731.0137382759,12
0.0426666666666666,12.3417730049919,18.6169837419526,19767.7254731445,65097.3273974221,-11077.2714462771,0.662930857976754,0.259701137395139,72.8808259078595,201,1299,37,31,67139.1802962297,112107.109109172,3009.93979991671,914.699078714573,-1194.76425031819,571.975046475365,2287.90018590146,1282.17648402039,0,161,914.699078714573,21.0197821975318,67.2479617971169,13.0401415306606,10.4321132245285,1368.60419865325,24980.825286471,1341.82989214186,5213.09981332654,1522.17247872417,0.549432074840547,89,0.485357428334467,1.04250291855262,1.78072406870282,0.365673456351232,18961.7938917518,11.8385980368543,0,0.999868314193361,0.999575619308376,1500,0,328.501424408576,1190.75150062299,2.28855721393035,2,1,59,20096.2268975531,0.0163464229421382,-4243.92345065546,16810.7956501756,0,151.203048741332,573.08132287458,421.878274133247,0,0,0,121159.236247375,16810.7956501756,13
0.0693333333333334,12.2830582670184,18.4898645208704,19654.2779346972,65230.9514872068,-10385.6066863124,0.664313048543645,0.258722973380233,46.6660532994915,202,1298,37,36,65812.7005874861,109864.966926988,2971.56243322084,1205.2781443445,-848.523293143576,560.535545545858,2242.14218218343,1284.30456712043,0,206,1205.2781443445,21.2228547537421,67.3076190271112,13.1999469971356,10.5599575977085,1337.51178798381,25025.7943490927,1353.48716702845,5371.51641439555,1467.73393004018,0.549945886277359,88,0.473622542715376,1.02915280975749,-1.28058239047076,0.14092154541576,19097.5312396305,11.9351160979804,0,0.999731596271662,0.99946400311563,1500,0,357.225450186898,1279.79204725289,2.32178217821782,2,1,50,20011.5033848841,0.0178510051601986,-3832.64343957522,18634.9639508522,0,149.979662878879,561.259673959126,411.280011080247,0,0,0,120658.04538838,18634.9639508522,14
0.0639999999999999,12.2868845737141,18.6560018594354,19426.159181041,65916.0488809208,-11056.9516021809,0.65860223783693,0.256568349657495,45.1105181895085,207,1293,37,32,64461.4050448631,107667.667588448,2948.96858307209,1235.5150389319,-780.191095329387,549.324834634941,2197.29933853976,1230.97343782274,0,208,1235.5150389319,21.748426637031,67.9120646689559,13.2325071073037,10.586005685843,1345.92043336749,25191.6808971229,1350.32581401583,5765.52171608194,1524.06015406184,0.566828172105011,91,0.448154557865865,1.02805834449666,-0.106346234538734,0.570728564918814,18895.9695575955,11.9515440339427,0,1.00019973342017,1.0001038023382,1500,0,383.937614175866,1363.25087404385,2.45893719806763,2,1,61,19810.0967952168,0.0193809055122117,-3431.97042451708,21032.3793880025,0,149.351810376292,550.024825434433,400.673015058141,0,0,0,119320.502323603,21032.3793880025,15
0.0566666666666666,12.3711814646505,18.9113706081257,19843.6424765681,66660.8923220033,-10049.8093033295,0.654166306662879,0.257283903348754,43.6068342498582,212,1288,37,32,63386.0924071894,105514.314236679,3059.15299166097,1098.26008245507,-1013.57930905051,538.338337942242,2153.35335176897,1297.68227965536,0,186,1098.26008245507,22.1161670847551,69.0153216748572,13.5814370518412,10.865149641473,1360.82019484894,25800.6722977299,1364.2941504538,5957.02982116178,1533.00245527409,0.581355115896206,108,0.441985145423147,1.03154352170345,0.339005779724388,-0.0095960535871642,19236.8446498497,11.9928836780646,0,1.00004411415205,1.00006287045829,1500,0,408.975262213154,1448.0459799247,2.58018867924528,2,1,61,20252.6177387812,0.0201936987844301,-3042.31979054804,23510.5482376429,0,149.364361746049,539.014995715085,389.650633969036,0,0,0,119997.175425863,23510.5482376429,16
0.0600000000000001,12.3696081486552,19.0126500072411,19956.4492801061,67166.4546883834,-9633.45612026785,0.650598845712938,0.26009900704779,42.1532731081963,212,1288,37,37,62333.2853182155,103404.027951946,3058.44140234002,1102.36293382673,-994.093103352482,527.571571183397,2110.28628473359,1268.16750551248,0,182,1102.36293382673,22.0527407934144,69.8398958338423,13.5177098388842,10.8141678711073,1374.94935459979,25826.1740817032,1358.3679325011,5869.72480159708,1556.24548515635,0.60047297516171,104,0.432697234819271,1.05342092584597,2.12084160117636,-0.0498013040790868,18944.4207823,11.7423224137317,0,1.00015201264881,1.00020917036531,1500,0,434.413793977411,1528.56575104547,2.67452830188679,2,1,60,20390.8630740835,0.0213043357899619,-2663.16137208824,25817.4696721279,0,149.067255237344,528.225673697145,379.158418459801,0,0,0,119866.283886331,25817.4696721279,17
0.0580000000000001,12.3623120320839,18.6970986317694,20074.4701371642,67550.3186544021,-9810.35683057038,0.661188790600822,0.260984116036263,40.7481640045897,217,1283,37,32,61679.1599069709,101335.947392907,3161.9998607751,834.788133225652,-1351.62186247608,517.020139759729,2068.08055903892,1434.72030072332,0,138,834.788133225652,22.3031317040602,70.5962435194577,13.4670005910303,10.7736004728242,1369.46167861944,25998.9058787076,1390.53156806539,5924.43574154334,1590.95711051173,0.614602521362875,120,0.431320140044626,1.04161314097138,-1.12089902382707,0.45693589717307,19272.4816417383,11.8684294060991,0,1.00000629184221,1.00007810030819,1500,0,458.56972531364,1610.23745653195,2.82027649769585,2,1,66,20533.0398624779,0.0223332603640259,-2294.28763330952,28330.116032964,0,148.778700077636,517.652438856352,368.873738778716,0,0,0,119419.121730803,28330.116032964,18
0.0673333333333334,12.1646398986921,18.8252794869408,19906.5553022341,67742.9349672222,-9030.37244084222,0.646186416893875,0.258495427654613,39.3898918711034,220,1280,37,34,60573.2639692884,99309.2284450488,3009.06798090437,1160.17315671155,-859.143850268701,506.679736964535,2026.71894785814,1277.96738758627,0,193,1160.17315671155,22.5429286017176,70.2210836710243,13.5037811696013,10.803024935681,1352.53415968603,25657.5493966632,1362.93059630068,5750.99409442912,1593.13215509477,0.624664099339429,110,0.423236067213709,1.02618051064884,-1.48160864293038,1.18615545105042,19398.6877509955,11.8542885705366,0,1.00017561938149,0.999919413204962,1500,0,483.071236959585,1680.17898275057,2.96818181818182,2,0.990909090909091,63,20389.6265391937,0.0236920100537893,-1934.95410835601,30096.9545410205,0,147.957434471096,507.290959424603,359.333524953508,0,0,0,119285.826495668,30096.9545410205,19
0.046,12.3763038661187,19.1791953931519,20233.5154073774,67979.2109768847,-8475.24421303587,0.645298387780012,0.25987010825498,38.0768954754,227,1273,37,30,59784.506965712,97323.0438761478,3090.19986517594,952.745726770251,-1136.85430135528,496.546142225244,1986.18456890098,1295.27816757683,0,158,952.745726770251,22.55706941732,70.6985693542709,13.522503949659,10.8180031597272,1368.12072420312,25838.7036075053,1347.22563057735,5605.18820012781,1622.88750925829,0.634618342017031,117,0.421059743523954,1.05108939831348,2.42733977172205,0.89593035841053,19250.0423273633,11.774739509291,0,1.00039279577145,1.00021698000269,1500,0,504.053694825171,1750.68002687184,3.16299559471366,3,0.982378854625551,73,20737.5691022026,0.0243063057362704,-1585.30244785703,32453.9376063588,0,147.485330104322,497.13699060331,349.651660498988,0,0,0,119288.473729561,32453.9376063588,20
