"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,29687.28,73297.03,63.8173,0,1,984,15.5804,0,0,50
2,69996.74,23890.72,3.4729,0,1,72,15.1711,0,0,9
3,50764.07,48240.44,61.766,0,1,3,13.6494,3,0,1
4,52932.85,25037.67,49.3237,0,1,1114,19.4171,0,0,16
5,39434.65,61436.78,76.7071,0,1,377,20.7464,0,0,2
6,55680.92,33411.37,7.7838,0,0,0,7.726,0,1,0
7,57145.75,24630.53,145.056,0,1,639,15.84,7,0,3
8,62660.92,52580.98,30.792,0,1,1100,18.1162,0,0,4
9,62688.47,64492.95,36.6033,0,1,557,24.9576,0,0,21
10,48482.23,52047.26,40.1674,0,1,1488,15.88,0,0,9
11,68778.06,15824.3,26.8483,0,1,815,17.5406,0,0,20
12,56351.79,20399.14,37.4543,0,1,130,18.7127,0,0,30
13,39618.31,60086.33,113.8701,0,1,248,20.0187,0,0,64
14,53523.09,47223.48,55.6841,0,1,1459,20.8564,0,0,23
15,67511.14,66654.68,105.9077,0,1,1062,12.9661,0,0,6
16,58490.79,38812.98,97.6714,0,1,1134,20.1191,0,0,13
17,62689.86,67060.2,15.2306,0,1,1175,28.313,0,0,21
18,68715.54,18310.84,55.3152,0,1,850,14.7835,0,0,2
19,70781.21,15790.47,33.7753,0,1,361,19.2818,0,0,11
20,31737.25,68253.36,30.7633,0,1,503,20.8384,0,0,19
21,71795.9,27680.33,87.6226,0,1,31,22.5497,0,0,34
22,25853.44,74964.9,54.9205,0,1,493,15.1084,0,0,29
23,70980.07,24243.25,68.7645,0,1,1258,11.8553,0,0,18
24,65968.78,53846.2,118.8914,0,1,1250,19.2313,0,0,10
25,56032.66,36400.72,72.3694,0,1,76,16.7262,0,0,7
26,65768.91,52965.75,90.8963,0,1,1250,19.2313,0,0,26
27,21573.19,86389.61,23.7576,0,1,779,19.1978,0,0,10
28,22215.32,86928.75,69.3001,0,1,779,19.1978,28,0,1
29,33111.8,68906.78,118.9402,0,1,71,14.8022,0,0,7
30,60521.91,28415.47,69.8571,0,1,485,17.6452,30,0,5
31,70960.67,27035.25,97.2618,0,1,31,22.5497,31,0,9
32,67737.98,38362.87,83.8211,0,1,585,15.6517,0,0,24
33,54310.62,26982.76,5.1463,0,1,1261,16.8453,0,0,7
34,55415.81,69179.73,123.2064,0,1,1022,18.4457,0,0,100
35,67706.43,18229.31,24.7069,0,1,815,17.5406,0,0,11
36,65553.82,46469.89,73.3924,0,1,717,17.6694,0,0,8
