"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,67543.42,46477.59,2.9812,0,0,0,2,0,57,0
2,46130.11,52568.17,2.0131,0,0,0,2,0,4,0
3,22645.82,81508.02,6.5359,0,0,0,2,0,6,0
4,22847.62,74446.58,2.0267,0,0,0,2,0,37,0
5,32965.2,66628.74,2.0157,0,0,0,2,0,5,0
6,49851.93,47549.73,25.5489,0,1,990,4.4576,0,0,10
7,33630.74,68482.34,23.2176,0,1,772,4.8512,0,0,2
8,30141.25,69787.14,24.5715,0,1,251,4.9991,0,0,16
9,62877.95,70305.33,2.0244,0,0,0,2,0,15,0
10,49626.65,46132.52,2.0203,0,0,0,2,0,8,0
11,37725,62248.03,67.6467,0,1,337,10.1491,0,0,7
12,68572.26,46089.11,107.1109,0,0,0,9.5043,12,0,81
13,63339.02,63182.18,29.4414,0,1,594,4.7712,0,0,10
14,27610.45,84553.78,23.9529,0,1,649,5.0263,0,0,6
15,27996.64,74030.36,2.573,0,0,0,2,0,5,0
16,20945.09,87608.2,2.1273,0,0,0,2,0,18,0
17,19624.26,84990.07,14.9006,0,1,454,3.6013,0,0,4
18,57895.57,73382.51,6.0558,0,0,0,2,0,30,0
19,66979.4,47564.66,2.1045,0,0,0,2,0,26,0
20,45289.41,62937.78,2.0272,0,0,0,2,0,61,0
21,65256.15,45967.88,2.0268,0,0,0,2,0,48,0
22,66039.7,40424.81,41.2231,0,1,625,4.6722,0,0,51
23,64044.75,63723.7,4.4013,0,0,0,2,23,0,0
24,33077.61,83411.72,2.0268,0,0,0,2,0,126,0
25,29085.07,76116.07,39.1262,0,1,680,4.5479,0,0,11
26,47128.81,51351.14,2.0694,0,0,0,2,0,57,0
27,67236.98,21445.43,2.8324,0,0,0,2,0,14,0
28,66227.57,36938.03,63.661,0,1,581,4.3542,0,0,13
29,39758.98,61650,2.0277,0,0,0,2,0,126,0
30,26571.42,82200.79,33.2586,0,1,432,4.4948,0,0,17
31,38936.93,60542.24,2.0282,0,0,0,2,0,49,0
32,32019.68,68158.6,5.2621,0,1,1153,3.9638,0,0,7
33,67757.9,44342.27,4.7309,0,0,0,2,0,6,0
34,51789.93,43412.28,2.0276,0,0,0,2,0,57,0
35,34946.94,65153.29,52.8791,0,1,726,4.1816,0,0,18
36,61914.63,29601.05,147.6564,0,0,0,13.0415,36,0,197
37,21492.86,83755.27,2.8927,0,0,0,2,0,6,0
38,55842.98,41668.53,2.9303,0,0,0,2,0,4,0
39,69683.07,19923.29,4.2097,0,1,588,10.2361,0,0,1
40,28331.33,72078.33,31.2825,0,1,353,3.6451,0,0,1
41,56469.69,33785.62,2.1602,0,0,0,2,0,33,0
42,53251.93,30320.77,4.8317,0,0,0,2,0,3,0
43,59047.4,66477.62,174.5165,0,1,43,4.7971,43,0,174
44,29444.65,69753.4,24.1406,0,1,251,4.9991,0,0,11
45,70177.11,14656.91,67.0298,0,0,0,3.6893,45,0,183
46,72135.84,18664.61,47.5813,0,1,753,4.2892,0,0,23
47,43428.75,58316.28,71.5918,0,1,337,10.1491,0,0,22
48,47092.38,53331.54,2.1219,0,0,0,2,0,31,0
49,70869.46,25470.61,97.921,0,1,723,4.5817,0,0,11
50,26146.9,73352.17,39.5081,0,1,680,4.5479,0,0,5
51,25995.3,84598.91,2.2172,0,0,0,2,0,42,0
52,25166.86,79823.47,2.0044,0,0,0,2,0,1,0
53,70122.87,16993.44,41.5697,0,1,753,4.2892,0,0,7
54,65115.07,66028.54,2.0157,0,0,0,2,0,5,0
55,49888.57,62096.88,2.0464,0,0,0,2,0,76,0
56,27437.93,77030.96,2.0247,0,0,0,2,0,16,0
57,55667.95,40091.27,9.5545,0,1,986,13.2434,0,0,1
58,64736.04,56823.95,46.3022,0,1,535,4.1482,0,0,10
59,60595.2,24921.51,2.0044,0,0,0,2,0,1,0
60,65571.16,61887.38,2.0222,0,0,0,2,0,11,0
61,22972.33,79522.45,2.0942,0,0,0,2,0,5,0
62,63864.48,64778.36,54.5956,0,1,99,4.4269,0,0,9
63,53789.51,26269.82,88.7671,0,0,0,4.482,63,0,143
64,26583.99,70307.01,55.1427,0,1,608,5.5947,0,0,15
65,58645.02,39721.47,2.0203,0,0,0,2,0,8,0
66,34783.22,66663.41,27.2821,0,1,149,3.7228,0,0,6
67,49499.16,51034.55,32.5907,0,1,238,4.4389,0,0,10
68,37746.97,62943.62,2.0964,0,0,0,2,0,58,0
69,54691.08,23267.14,38.0643,0,1,63,4.2184,0,0,9
70,30936.33,71692.52,2.0157,0,0,0,2,0,5,0
71,59023.07,28768.9,2.0268,0,0,0,2,0,86,0
72,31740.05,69805.97,24.1392,0,1,251,4.9991,0,0,11
73,49489.26,48104.63,25.7548,0,1,990,4.4576,0,0,11
74,50142.17,59116.83,2.0497,0,0,0,2,0,39,0
75,24393.41,77807.21,4.7405,0,1,1234,17.6847,0,0,1
76,56489.39,37497.2,2.0087,0,0,0,2,0,2,0
77,50720.24,47627.48,6.33,0,0,0,2,0,9,0
78,67235.65,17955.15,2.0157,0,0,0,2,0,5,0
79,26047.06,72383.76,2.0247,0,0,0,2,0,15,0
80,63814.3,32962.99,2.0203,0,0,0,2,0,8,0
