"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,63927.17,61149.29,54.9814,0,1,611,21.9749,0,0,49
2,62183.58,47813.4,83.1533,0,1,2,19.96,2,0,8
3,63323.39,32254.56,79.2611,0,1,381,14.2085,0,0,21
4,46333.92,52566.47,54.316,0,1,650,23.7508,0,0,18
5,27656.69,77515.08,78.2349,0,1,1382,22.9495,0,0,24
6,64443.87,66241.88,63.834,0,1,41,18.7034,0,0,9
7,36375,64594.25,65.8053,0,1,384,18.113,0,0,7
8,54218.38,40691.26,94.8443,0,1,1015,17.3637,0,0,104
9,54653.99,40845.81,75.3826,0,1,1455,17.4089,0,0,87
10,68561.78,46953.05,52.3078,0,1,970,19.832,0,0,10
11,28820.27,70521.92,20.6904,0,1,736,21.0033,0,0,8
12,67479.92,16762.35,119.6456,0,1,858,22.2148,0,0,29
13,60407.66,68674.83,6.9711,0,1,1241,19.4487,0,0,6
14,68043.13,42719.72,75.3542,0,1,975,21.6514,0,0,52
15,59818.46,57881.24,42.3993,0,1,1283,19.0117,0,0,8
16,59071.91,46804.78,75.1858,0,1,903,15.3407,0,0,7
17,30496.25,83932.41,57.0155,0,1,1218,19.008,0,0,18
18,58715.69,73556.93,82.7002,0,1,352,11.064,0,0,44
19,25355,70304.54,39.4492,0,1,258,18.8742,0,0,29
20,52456,25359.2,61.3418,0,1,1012,12.2225,0,0,12
21,42920.34,57089.22,160.8795,0,1,148,20.2761,0,0,22
22,66887.81,67381.74,63.8714,0,1,1222,14.0544,0,0,2
23,67725.55,17513.97,93.0881,0,1,858,22.2148,0,0,23
24,69925.11,23157.3,46.2512,0,1,637,21.9849,24,0,2
25,68083.58,48164.04,85.5143,0,1,1018,16.422,0,0,17
26,26206.2,84787.99,61.1373,0,1,1070,18.5335,0,0,48
27,21100.63,73992.46,84.7217,0,1,27,14.4158,27,0,3
28,54134.64,43724.45,36.1458,0,1,74,21.2071,0,0,2
29,32075.19,68870.53,75.3802,0,1,516,21.0612,0,0,95
30,70749.51,21614.3,67.3614,0,1,1143,22.7339,0,0,11
31,54451.92,29333.76,49.567,0,1,690,20.8064,0,0,2
32,21024.29,84108.92,78.1031,0,1,1056,16.1093,32,0,13
33,25188.06,76840.43,53.923,0,1,1382,22.9495,0,0,22
34,58121.57,73147.93,84.9456,0,1,1372,21.4643,0,0,15
35,64983.82,46449.99,73.2114,0,1,595,20.8016,0,0,21
36,22064.99,85726.57,70.774,0,1,1400,22.7577,0,0,34
37,59798.48,28622.85,91.5881,0,1,1008,17.5536,0,0,17
38,57942,37082.73,80.5372,0,0,0,20.0515,0,1,0
39,68349.26,17168,118.9271,0,1,858,22.2148,0,0,77
40,57613.83,33697.27,56.4511,0,1,1127,20.1021,0,0,2
41,63657.86,64604.85,148.6323,0,1,41,18.7034,41,0,6
42,68600.58,47630.84,88.1326,0,1,970,19.832,0,0,30
43,56306.65,32964.93,92.8207,0,1,348,17.5226,0,0,44
44,65928.9,56183.74,109.5295,0,1,956,21.8334,0,0,18
45,60591.06,18430.54,62.988,0,1,52,20.9197,0,0,11
46,56682.88,18301,92.123,0,1,692,19.2135,0,0,9
47,62241.72,66008.51,62.9411,0,1,1342,19.8923,0,0,14
48,65260.18,59307.02,124.5764,0,1,1205,20.5108,0,0,2
49,42011.01,58958.56,97.2803,0,1,916,18.1781,49,0,1
50,21499.8,86970.07,60.2261,0,1,50,12.9452,50,0,3
51,29760.18,76209.09,67.6783,0,1,67,20.8001,0,0,7
52,61757.73,19435.72,94.8698,0,1,52,20.9197,52,0,3
53,47376.77,51110.51,52.2561,0,1,1369,18.6448,0,0,15
54,58463.16,47301.81,43.7058,0,1,370,19.2604,0,0,42
55,68872.25,16444.28,87.9281,0,1,858,22.2148,0,0,8
56,43225.2,57245.79,136.5375,0,1,916,18.1781,56,0,12
57,69221.64,44214.62,119.2026,0,1,357,18.8239,0,0,69
58,26151.33,84872.05,47.6245,0,1,1488,19.4228,0,0,25
59,55378.32,28713.01,86.0316,0,1,690,20.8064,0,0,13
60,58194.01,67278.7,117.3871,0,1,60,13.9179,60,0,6
61,45987.43,53498.77,1.4516,0,1,1429,19.325,0,0,6
62,53667.17,23497.45,73.0857,0,1,889,13.547,0,0,34
63,24536.35,83042.75,112.4784,0,1,1488,19.4228,0,0,10
64,65548.54,55017.96,53.3163,0,1,1083,21.8391,0,0,18
