"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,29687.28,73297.03,2.1412,0,0,0,2.1323,0,2,0
2,69996.74,23890.72,3.7281,0,0,0,2.1323,2,0,114
3,50764.07,48240.44,5.4926,0,0,0,2.1323,0,4,0
4,52932.85,25037.67,69.3885,0,1,834,4.8472,0,0,22
5,39434.65,61436.78,7.8021,0,0,0,2.1323,5,0,215
6,55680.92,33411.37,10.5599,0,0,0,2.1323,0,9,0
7,57145.75,24630.53,78.525,0,1,525,5.9961,0,0,9
8,62660.92,52580.98,3.9398,0,0,0,2.1323,8,0,28
9,62688.47,64492.95,121.6492,0,1,424,8.2026,0,0,35
10,48482.23,52047.26,14.3892,0,1,837,4.4092,0,0,9
11,68778.06,15824.3,2.1499,0,0,0,2.1323,0,4,0
12,56351.79,20399.14,2.6848,0,0,0,2.1323,0,14,0
13,39618.31,60086.33,25.866,0,1,599,4.4501,13,0,220
14,53523.09,47223.48,2.1499,0,0,0,2.1323,0,4,0
15,67511.14,66654.68,2.1453,0,0,0,2.1323,0,3,0
16,58490.79,38812.98,2.4666,0,0,0,2.1323,0,3,0
17,62689.86,67060.2,120.8804,0,1,761,4.8553,0,0,4
18,68715.54,18310.84,42.4183,0,1,826,7.3429,0,0,17
19,70781.21,15790.47,49.5606,0,1,1107,4.5841,0,0,9
20,31737.25,68253.36,103.1826,0,1,20,3.571,20,0,98
21,71795.9,27680.33,3.6248,0,0,0,2.1323,0,5,0
22,25853.44,74964.9,9.5784,0,1,846,3.8981,0,0,11
23,70980.07,24243.25,12.5983,0,1,412,3.8279,0,0,6
24,65968.78,53846.2,2.136,0,0,0,2.1323,0,1,0
25,56032.66,36400.72,2.1453,0,0,0,2.1323,0,3,0
26,65768.91,52965.75,22.1627,0,1,1058,5.5373,0,0,2
27,21573.19,86389.61,8.3763,0,1,305,17.7594,0,0,1
28,22215.32,86928.75,41.7754,0,1,393,4.7025,0,0,4
29,33111.8,68906.78,2.1553,0,0,0,2.1323,0,17,0
30,60521.91,28415.47,2.1662,0,0,0,2.1323,0,10,0
31,70960.67,27035.25,21.2162,0,0,0,2.1323,31,0,166
32,67737.98,38362.87,3.0409,0,0,0,2.1323,0,42,0
33,54310.62,26982.76,2.169,0,0,0,2.1323,0,13,0
34,55415.81,69179.73,2.1704,0,0,0,2.1323,0,16,0
35,67706.43,18229.31,35.1552,0,1,1148,3.9667,0,0,2
36,65553.82,46469.89,13.4662,0,0,0,2.1323,0,4,0
37,22092.3,87050.85,2.3767,0,0,0,2.1323,0,14,0
38,19869.92,73387.51,2.2,0,0,0,2.1323,0,10,0
39,58010.24,39326.45,2.136,0,0,0,2.1323,0,1,0
40,64325.02,64064.13,3.928,0,0,0,2.1323,0,9,0
41,55054.07,26375.24,80.3469,0,1,525,5.9961,0,0,10
42,63944.58,60033.35,38.4922,0,1,613,4.8799,0,0,23
43,57288.26,39640.86,25.5127,0,1,925,6.4578,0,0,10
44,33165.6,66082.63,13.7941,0,0,0,2.1323,0,6,0
45,55863.71,45966.62,4.8752,0,0,0,2.1323,0,8,0
46,56774.58,25408.59,11.2911,0,0,0,2.1323,0,4,0
47,24830.43,75872.17,18.4058,0,0,0,2.1323,0,6,0
48,42650.37,57899.36,15.4999,0,1,1364,4.2872,0,0,26
49,65511.64,18502.82,2.1802,0,0,0,2.1323,0,44,0
50,52500.22,44416.53,114.8482,0,1,730,6.3899,0,0,11
51,69587.17,45953.42,65.5815,0,1,785,3.6239,0,0,3
52,70597.76,19609.68,55.7911,0,1,1107,4.5841,0,0,11
53,35828.31,63195.82,2.136,0,0,0,2.1323,0,1,0
54,26420.3,70939.27,2.1453,0,0,0,2.1323,0,3,0
55,54994.14,34050.17,3.3693,0,0,0,2.1323,0,13,0
56,51281.4,45851.8,2.6528,0,0,0,2.1323,0,5,0
57,28219.35,73793.28,10.2176,0,1,846,3.8981,0,0,6
58,56448.72,25834.09,2.1499,0,0,0,2.1323,0,4,0
59,46243.34,51619.64,2.7728,0,0,0,2.1323,0,12,0
60,25523.67,76213.71,7.4767,0,1,846,3.8981,0,0,11
61,54420.52,28636.08,3.0577,0,0,0,2.1323,0,7,0
62,71146.24,22076.89,37.4694,0,1,102,6.8174,0,0,11
63,25658.51,82539.41,11.674,0,0,0,2.1323,0,3,0
64,48354.35,46909.55,65.9339,0,1,1399,3.8917,0,0,1
65,54778.84,40237.6,43.5423,0,1,531,3.7951,0,0,15
66,57858.46,19598.7,2.4461,0,0,0,2.1323,0,38,0
67,34458.71,66544.34,52.4408,0,1,929,8.2418,0,0,20
68,61697.72,19449.1,2.2438,0,0,0,2.1323,0,39,0
69,37737,61738.38,26.9591,0,1,670,4.1174,0,0,8
70,69347.21,45588.79,42.8991,0,1,738,3.6683,0,0,4
71,33623.62,68226.27,2.1704,0,0,0,2.1323,0,16,0
72,69926.02,21857.86,59.6788,0,1,117,4.2247,0,0,1
73,61560.81,24454.04,2.7332,0,0,0,2.1323,0,8,0
74,60710.18,68337.85,18.6231,0,1,461,4.1625,0,0,1
75,53953.18,28841.25,2.979,0,0,0,2.1323,0,8,0
76,56631.38,38005.6,9.2306,0,0,0,2.1323,0,4,0
77,29200.03,72626.03,68.7931,0,1,824,9.4992,0,0,11
78,66013.59,55063.43,35.2138,0,1,78,6.1677,78,0,188
79,60392.86,68834.04,39.5913,0,1,461,4.1625,79,0,197
80,57092.66,25264.6,5.1301,0,0,0,2.1323,0,4,0
81,68160.64,48039.4,13.3641,0,0,0,2.1323,0,2,0
82,63338.91,63848.04,2.1713,0,0,0,2.1323,0,18,0
83,72883.52,17817.94,11.7037,0,0,0,2.1323,0,6,0
84,65425.82,18130.5,2.1817,0,0,0,2.1323,0,42,0
85,55126.48,68468.35,17.3822,0,1,1277,4.2858,0,0,37
86,60999.64,47022.14,134.9675,0,1,430,6.5835,0,0,9
87,25017.98,77364.64,2.5982,0,0,0,2.1323,0,15,0
88,59589.85,71808.2,2.1412,0,0,0,2.1323,0,2,0
89,68483.75,45621.18,5.4561,0,0,0,2.1323,0,2,0
90,66257.4,41772.7,2.136,0,0,0,2.1323,0,1,0
91,48725.1,48692.9,8.7452,0,1,1793,3.3192,0,0,10
92,22367.01,82407.06,26.5394,0,0,0,2.1323,92,0,132
93,24365.58,79592.72,2.1412,0,0,0,2.1323,0,2,0
94,61445.08,46500.64,2.1743,0,0,0,2.1323,0,50,0
95,65513.96,66982.78,45.1302,0,1,543,3.9741,95,0,140
96,65251.89,60129.83,36.4218,0,1,613,4.8799,0,0,3
97,52753.17,23942.93,74.0204,0,1,834,4.8472,0,0,19
98,28669.08,74833.27,5.6057,0,1,846,3.8981,0,0,2
99,61005.86,46567.96,3.6274,0,0,0,2.1323,0,47,0
100,70420.61,45428.21,6.8054,0,1,1438,4.7462,0,0,3
101,68096.36,16411.99,3.7167,0,0,0,2.1323,0,26,0
102,70978.25,24622.28,36.4177,0,1,2,3.977,102,0,198
103,69758.06,21338.69,65.9415,0,1,117,4.2247,0,0,35
104,51622.36,43315.04,10.3257,0,0,0,2.1323,104,0,140
105,24796.56,82084.09,2.1412,0,0,0,2.1323,0,2,0
106,28107.11,71983.47,77.8184,0,1,824,9.4992,0,0,35
107,67564.15,42803.17,2.1499,0,0,0,2.1323,0,4,0
108,57411.65,42470.54,2.173,0,0,0,2.1323,0,28,0
109,66125.6,57340.98,37.9003,0,1,613,4.8799,0,0,21
110,57845.44,47608.17,17.7247,0,1,266,3.0835,0,0,5
111,72562.3,28988.47,19.9629,0,1,914,6.2575,0,0,15
112,67217.42,40921.25,78.0963,0,1,362,8.2863,0,0,40
113,22870.39,81101.29,30.457,0,1,1218,3.4907,0,0,13
114,29453.13,70357.84,97.4259,0,1,276,6.4341,0,0,18
115,64164.89,46185.95,57.1344,0,1,115,3.2279,115,0,24
116,66722.48,48164.54,2.9644,0,0,0,2.1323,0,1,0
117,69619.68,21231.09,33.1793,0,0,0,8.7973,117,0,108
118,69565.3,30848.57,18.6041,0,1,914,6.2575,0,0,35
119,29739.88,71129.83,10.8154,0,1,1796,8.2184,0,0,1
120,49555.16,47645.81,3.2753,0,0,0,2.1323,0,1,0
121,63422.48,67176.02,4.2937,0,0,0,2.1323,0,1,0
122,52202.98,63106.04,2.1675,0,0,0,2.1323,0,11,0
123,68484.62,16822.32,8.5943,0,1,1008,7.8631,0,0,5
124,32275.48,66744.46,8.08,0,0,0,2.1323,0,3,0
125,73434.45,24846.41,2.1699,0,0,0,2.1323,0,15,0
126,57392.17,33129.61,2.1709,0,0,0,2.1323,0,17,0
127,22308.22,80921.41,9.6164,0,0,0,2.1323,0,1,0
128,56787.36,46135.67,2.1649,0,0,0,2.1323,0,9,0
129,28923.74,76611.55,12.2592,0,0,0,2.1323,0,1,0
130,54943.68,28349.82,2.1499,0,0,0,2.1323,0,4,0
131,69090.55,16179.01,2.1499,0,0,0,2.1323,0,4,0
132,56640.34,37741.02,4.3476,0,0,0,2.1323,0,17,0
133,51976.16,23360.21,2.1499,0,0,0,2.1323,0,4,0
134,56325.29,41334.15,9.7918,0,1,1281,3.8381,0,0,5
135,65367.32,57388.18,2.1453,0,0,0,2.1323,0,3,0
136,63319.98,18516.96,2.1733,0,0,0,2.1323,0,34,0
137,60035.38,42369.42,2.136,0,0,0,2.1323,0,1,0
138,41798.14,58984.35,16.2669,0,1,599,4.4501,0,0,8
139,52823.28,25601.94,2.136,0,0,0,2.1323,0,1,0
140,67007.1,46171.17,2.1625,0,0,0,2.1323,0,8,0
141,56637.55,67446.04,2.1553,0,0,0,2.1323,0,5,0
142,66210.09,49024.03,4.24,0,0,0,2.1323,0,1,0
