"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","mean_firm_age","med_firm_age","share_young_firms","period"
0.96,9.93266858915695,13.7298658365208,545.899465660066,147069.326130856,3971.84167750776,0.723435225618632,0.201584322080284,0,20,980,0,0,572.126819525999,0,98.1268195259993,26,-72.1268195259993,0,7.5698853851683,0,13,26,85.5886794467018,206.787332367305,10.3011265171891,8.24090121375126,39.76,22474.959088701,1636.939454202,21929.0596230409,0,0.374,0,1,1,0,0,545.899465660066,9.93266858915695,0,0.994,0.994,1000,0,0,0,0,1,1
0.781437125748503,11.1491481477019,16.4548102203121,3669.65026835068,145147.537625095,5556.70350003869,0.677561636896863,0.208146531853221,0,30,972,10,0,978.243782244938,0,679.611871750308,273.49490903137,-406.116962718938,0,72.0641699845768,0,59,273.49490903137,82.6264471809651,206.285112868173,10.8394128628613,8.67153029028904,216.871766748367,24422.5997217376,1484.22250969446,20752.949453387,0,0.461843036279157,2,0.952004738949297,1.06335100513413,6.33510051341297,6.33510051341297,3451.02440363781,10.4849180504565,1.00931805135577,0.990458016032121,0.990282039946879,1002,2,0,0.666666666666667,1,1,2
0.596019900497512,11.6497938388659,18.5077022033532,7647.19738364846,142502.040888089,7367.234191817,0.62945652090486,0.210623098867237,205.864536272873,35,970,5,0,2121.65461721763,0,1460.46366121139,317.052826238693,-1143.41083497269,0,197.678283137193,0,65,317.052826238693,80.9178497337547,203.643436034779,11.51381783118,9.21105426494401,400.685084200331,26741.5805036589,1444.88927960025,19094.3831200105,0,0.566702639768729,3,0.968648822436366,1.16145577194665,9.22600028954221,5.68825390869152,6584.14859037758,10.0303378916791,9.60855599794358,0.987240124203521,0.986909074385051,1005,3,0,1.42857142857143,2,1,3
0.464285714285714,11.6742640720406,19.9113040191113,11218.3811770294,138304.446837219,10072.6615774468,0.586313385644427,0.215156554513283,440.978849185014,40,968,5,0,3947.68588107729,0,2204.26017961392,378.228915754263,-1826.03126385966,0,355.903939956489,0,73,378.228915754263,78.070639653309,199.613319624706,11.8592332872202,9.48738662977618,531.676432724237,28146.2536375324,1413.58163234899,16927.872460503,0,0.672594814944377,8,0.938393505223123,1.25982624006503,8.46958364617691,6.6027578593614,8904.7051254071,9.26656684928079,26.3571044182923,0.985359191491328,0.984585986526365,1008,3,0,2.125,2.5,1,4
0.323442136498516,12.1337949430445,22.0461615235773,15756.3260271629,131843.412276184,13954.6029401224,0.550381295631349,0.218713387460093,572.826153389258,45,966,5,0,6741.75942579915,0,3172.97604824855,378.902503526686,-2794.07354472186,0,581.440015706789,0,71,378.902503526686,74.8491147173326,192.010328995176,12.1557149429581,9.72457195436651,672.546606265467,29597.6822733001,1342.53222456194,13841.3562461372,0,0.783193760399932,12,0.925924371380178,1.31539194842374,4.41058509432548,6.80627638116209,11978.4266933092,9.22447104650797,47.4538586608652,0.984216198164176,0.983255272317934,1011,3,0,2.77777777777778,3,1,5
0.211045364891519,12.744822870339,24.5792508146852,20727.7066121851,122772.352980332,19687.8639004757,0.518519582489649,0.223750657757273,823.789147404398,50,964,5,0,10406.8931247173,0,4253.77214164138,393.845164151844,-3665.13369891813,0,849.505950567959,0,72,393.845164151844,69.7948954107428,180.694636546688,13.3661517051097,10.6929213640877,786.253167788884,30689.0675952016,1248.57620057589,9961.36098301652,0,0.901503152497393,15,0.878293389597087,1.37553850509938,4.57251975334942,7.08389951976593,15068.7941743133,9.26533341167224,77.5253354275719,0.984824651205308,0.982816459736105,1014,3,194.793278571406,3.4,4,1,6
0.110127826941986,13.0995696557531,26.9428435089414,24701.8680249811,112012.993958899,27999.1641226695,0.486198483519594,0.224200459296741,1062.94474152225,55,962,5,0,13156.9793786347,0,5070.67331951365,487.196229651247,-2750.08625391744,0,1014.07294198457,0,81,487.196229651247,63.2153577930199,164.166480187356,13.9170694012089,11.1336555209671,889.485151801475,31323.1918844555,1162.57929026906,6621.32385947439,5.89908407540946,1.02889753363309,23,0.820790062918101,1.47667763016001,7.35269312241642,6.35992898621675,16728.0031338353,8.87097453648947,113.267460075728,0.985812069639582,0.982856521327597,1017,3,1833.39083594496,4,5,1,7
0.0715686274509804,13.3480746386249,29.3865612356389,24576.0190771418,102473.63833326,35020.5056090313,0.454223770232661,0.231633602687858,1120.63092431028,60,960,5,0,15787.6767585739,0,4923.0862190587,538.590585826784,-2630.69737993915,0,853.051219208474,0,86,538.590585826784,56.4965864891046,151.615431400344,14.8711361003885,11.8969088803108,930.34709880376,31003.2157493562,1055.01339543453,6427.19667221437,134.932408554123,1.16275841629486,38,0.641929428353912,1.63341390651373,10.6141159825614,6.15993035751412,15045.800075007,8.17188747162943,135.209725597943,0.986790129869435,0.9824150990536,1020,3,1753.79825329277,4.58333333333333,5.5,1,8
0.0762463343108505,13.8351972355686,31.5398284386053,25326.6862846749,92525.0828195827,42302.6116182929,0.438657973758479,0.243940460163478,1118.3919206421,65,958,5,0,18506.9446210273,0,5161.16216113541,629.049057046434,-2719.26786245339,0,931.233585457434,0,94,629.049057046434,49.1817932734375,139.402593479235,15.1937339840101,12.154987187208,885.061225405949,30238.4346888625,958.738084061681,4911.74840418761,239.079800300722,1.25540972416845,44,0.60694081047956,1.71263008674393,4.84973097843098,6.2975920579762,14788.1825040376,8.07833363588296,113.74016256113,0.986686496518218,0.981921032437046,1023,3,1812.84524163559,5.15384615384615,6,1,9
0.0818713450292398,14.2729405982241,33.3527061206076,24754.6366136498,83257.3073089797,49158.8157308504,0.427939506515944,0.255896083134376,1336.36364893317,70,956,5,0,21178.3556271843,0,5136.06970620885,683.718029280452,-2671.41100615704,0,914.872015999767,0,100,683.718029280452,42.5613911654178,127.412976896758,15.1279335020992,12.1023468016793,860.797595133194,29065.5992902464,871.46149955993,4310.96267659653,341.244509872991,1.31650474881449,49,0.592597380878676,1.77104091062961,3.41059195081233,5.02339244126232,13977.4504728124,8.05906882927402,124.164478060991,0.987033654749626,0.981828140790842,1026,3,1780.94067077136,5.71428571428571,6.5,1,10
