"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","period"
0.96,9.02569165645353,12.4636184281077,496.052013438686,145089.254504965,3543.64994990438,0.724163027656477,0.192405799853859,0,20,980,0,0,569.166613012436,0,89.1666130124358,20,-69.1666130124358,0,368.461632028661,0,10,20,88.0042198183682,202.512179415857,8.82740575638748,7.06192460510998,39.8,22086.4002492757,1772.06967436254,21590.348235837,0,0.374,0,1,1,0,0,496.052013438686,9.02569165645353,0,0.995,0.995,1000,0,0,4.45833065062179,0,0,1,0,496.052013438686,0,1
0.639,10.74512977468,15.6929676653387,5661.37709694611,140207.209481166,7471.21572192,0.684709865197323,0.205234680546676,19.107778360673,50,950,30,0,1542.39984580039,0,1044.73521941469,71.5019866267386,-973.233232787952,0,286.060162797207,0,18,71.5019866267386,81.0834684377914,199.350121144849,10.7042235133684,8.56337881069468,358.4189,25156.1676169048,1603.02169439038,19494.7905199586,0,0.451046639901954,3,0.975518604777122,1.02492419004059,2.49241900405928,2.49241900405928,5523.70326699177,10.4838288325056,0,0.99301,0.992850138504155,1000,0,0,56.4721750888252,0.4,0,1,0,5661.37709694611,0,2
0.331,11.4221671805377,17.9255527777748,12414.2054560094,135214.789075816,11192.1925064979,0.637200276172217,0.204468317184424,1051.82078287258,65,935,15,0,3829.09244399558,0,2358.94610691043,72.2535087152364,-2286.6925981952,0,827.45980977794,0,15,72.2535087152364,79.0150297792456,193.012106318765,11.9362376772678,9.54899014181421,661.849722,28794.0524366741,1606.31322189265,16379.8469806647,0,0.553717623499286,14,0.890508033408067,1.12061011173828,9.33590236502215,5.63459482706282,11078.0773133955,10.192811095395,0,0.989649961538462,0.98931199103139,1000,0,0,171.595871679906,1.07692307692308,1,1,0,12414.2054560094,0,3
0.122,11.894849531481,19.874785431341,18960.3972108383,128467.631952377,15888.0524189573,0.598489456531379,0.202040813257663,2675.23208217599,80,920,15,0,7459.47853228964,0,3700.21307870607,69.8269904120164,-3630.38608829406,0,2035.65858898277,0,13,69.8269904120164,77.0268112439949,183.840343929327,12.9817237009192,10.3853789607354,865.79996863875,31449.6456831809,1582.38919317274,12489.2484723426,0,0.657583245453505,38,0.762406803175107,1.21441219558368,8.37062622073777,7.72481613860259,15612.8185140017,9.79473820728886,0,0.98663264078125,0.986104747880125,1000,0,0,348.026732031214,1.6875,2,1,0,18960.3972108383,0,4
0.036,12.3187879899548,21.697568846997,22427.4675976205,120844.270810948,19920.2997355789,0.567749690152946,0.208484221675342,3475.52599092458,95,905,15,0,11710.8979088366,0,4398.25966567352,64.25953231955,-4251.41937654697,0,2377.73359339301,0,11,64.25953231955,71.25690183001,175.060646177039,13.7613786431097,11.0091029144878,947.692536315041,32557.4702681998,1500.51236144393,10130.0026705793,48.5379672266234,0.765018090665302,62,0.617541311937023,1.31124974643125,7.97402654549493,9.30620192484447,17103.8870807487,9.39469237151969,0,0.983799560065132,0.98308354389527,1000,0,82.5807568069994,550.538378713329,2.26315789473684,3,1,15,22510.0483544275,0.00366861747725907,5
0.019,12.6843955434275,23.3499993393282,23286.7960721841,114085.201741147,22374.9024334447,0.543228946566319,0.21579543355007,3799.62455158941,110,890,15,0,16163.4212857799,0,4683.76310660804,117.659787398588,-4452.52337694325,0,2969.27950868579,0,19,117.659787398588,66.6385717319851,167.599729430197,14.5749845840475,11.659987667238,954.569355007716,32416.4367777345,1388.28426959035,9129.64070555034,164.37721501208,0.868816060376715,89,0.483544156839426,1.44828985466834,10.4511065576988,8.74067008914563,16078.8228938584,8.75818849558416,0,0.981078667410514,0.979369293567376,1000,0,113.57994226621,757.199615108065,2.81818181818182,3,1,28,23400.3760144503,0.0048537656914603,6
0.024,13.0619581993457,25.2173585169177,23495.6230760484,106910.561439337,25306.8357871844,0.517974877923188,0.225988254694602,4208.90249272429,125,875,15,0,20604.2511159721,0,4702.05355211682,118.057375130785,-4440.82983019226,0,2414.76025597483,0,18,118.057375130785,61.3634359611103,159.776329587936,15.138495441627,12.1107963533016,918.400407964293,31991.5125480689,1268.63059533403,8495.88947202051,297.959965301903,0.958371860362803,111,0.407166161656808,1.59890255576649,10.3993479352687,8.84502860044817,14694.8436546747,8.16932723775902,0,0.978432481184646,0.976130619715531,1000,0,143.166346793775,954.442311958503,3.36,4,1,41,23638.7894228421,0.00605641618243927,7
0.023,13.806079664704,27.0970577050647,24361.8470596067,99426.6662128419,28679.9495444678,0.509504751954064,0.243596058955901,4883.56218293487,138,862,15,2,25176.1978169872,0,4864.35785446669,119.920440089027,-4571.94670101508,0,2484.25271686252,0,18,119.920440089027,54.5635799261411,153.565856538971,15.5394812443059,12.4315849954447,908.384403258792,31332.9512543967,1156.32300729611,6971.10419478998,411.883467198766,1.03814916176887,126,0.374717136536173,1.70296302241139,6.50824318652796,9.00951568816904,14305.5643246502,8.10709303902243,0,0.975812264224523,0.974058116664073,1000,0,172.490713362587,1149.93808908391,3.89855072463768,4,1,54,24534.3377729693,0.00703058362360317,8
0.015,14.529166541022,30.1231368653375,25330.526833615,92220.0626093127,31778.6186793267,0.482325815069435,0.263840907437197,6014.99817681022,152,848,15,1,30119.9233643593,0,5272.83590442183,125.697910072117,-4943.72554737209,0,2961.32105773662,0,18,125.697910072117,48.6304340395724,147.604964936247,16.0618863762603,12.8495091010083,927.254041818656,30804.4822460302,1022.61867294029,5473.95541241516,577.588246551665,1.10568805596141,142,0.342756703111151,1.85439762598593,8.89241877725049,9.57097209936999,13659.7062456589,7.834979045175,0,0.973182611846508,0.971222918913756,1000,0,203.412446977621,1356.08297985081,4.44078947368421,5,1,69,25533.9392805926,0.00796635586629703,9
0.00700000000000001,15.3411139386259,32.6084833452813,26336.5465544902,84774.1554812424,34564.3369971716,0.47046389052148,0.283336768793511,7011.8432466441,164,836,15,3,35399.4951504,0,5586.07880495351,71.3696032469551,-5279.57178604066,0,2878.18055770329,0,10,71.3696032469551,42.9761639599588,140.067246788866,16.714777186034,13.3718217488272,932.940265443474,30422.8233432399,932.972656872813,4086.27678874973,761.986346765417,1.16844151048358,160,0.31115526568977,2.01751900818982,8.79646198409927,9.20738392062237,13053.9273471927,7.60395013695084,0,0.970450692626011,0.96678393497699,1000,0,235.137415665891,1567.58277110594,5.00609756097561,5,1,88,26571.6839701561,0.0088491725225238,10
