"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","period"
0.962,11.0269719213539,15.4535800149418,600.546376797609,145887.683833701,3944.86300620091,0.713554523333238,0.201717367744015,0,20,980,0,0,577.949741005439,0,107.949741005439,30,-77.9497410054393,0,8.32766384070223,0,15,30,84.7271691659305,205.398717439707,12.0842300450542,9.66738403604337,37.81,22339.0024273248,1445.5551662285,21738.4560505271,0,0.374,1,0.95,1,0,0,600.546376797609,11.0269719213539,0,0.995,0.995,1000,0,0,5.39748705027196,0,0,1,1
0.466067864271457,11.9759519322517,17.685008496119,9813.31083471834,137616.195756809,11013.5842820911,0.677181010960772,0.225898941753986,136.928143194741,70,932,50,0,1998.50101507513,0,1817.51823104972,396.966956980031,-1420.55127406969,0,193.238508978531,0,73,396.966956980031,72.9494958744837,200.367591673373,12.8935581330734,10.3148465064587,531.590142359724,27735.1633660644,1568.28668598892,17921.8525313461,0,0.462610850824121,8,0.923892737785308,1.01735019778049,1.73501977804928,1.73501977804928,9645.95166554014,11.7717104281093,1.66553276814045,0.993749222384087,0.99362643431724,1002,2,0,96.0035242502444,0.285714285714286,0,1,2
0.137313432835821,11.9793604862129,18.8785686161011,18921.3365750081,129291.913562062,18385.9574044349,0.634548133908625,0.230386957555874,2250.91063511378,95,910,25,0,5131.69305537608,0,3613.27332015159,371.334474232515,-3133.19204030095,0,492.860541773266,0,64,371.334474232515,68.4835621466536,190.525181950833,14.2536428478206,11.4029142782565,860.030416220809,32343.7541743259,1713.25246272859,13422.4175993178,1.31626741281549,0.575305780375124,49,0.703337318775614,1.14080240387452,12.1346814856241,7.07104827369967,16585.9893972395,10.5008198137795,38.6477017957061,0.993420400657517,0.991961264383863,1005,3,108.746805618125,271.867014045312,0.947368421052632,1,1,3
0.0456349206349206,12.3088820028986,20.3826626406215,22383.2903757612,120288.258975246,24389.7334811865,0.603889796928088,0.231521496478046,3058.3148666631,120,888,25,0,8983.86155675906,0,4383.08913126604,339.949381920522,-3852.16850138298,0,619.282569274666,0,53,339.949381920522,65.4079947166296,178.599894453842,14.9167246415226,11.933379713218,954.627148761976,33451.7919270974,1641.1885197192,11068.5015513363,70.8593687486168,0.691190120889846,96,0.502455491117512,1.26016331631352,10.4628910347321,9.27954897364715,17762.2139019578,9.76768792072685,98.5721083546532,0.995207522380563,0.992335913473987,1008,3,190.971247962539,477.428119906348,1.54166666666667,2,1,4
0.0217606330365975,12.8745738226238,21.5889408376102,23174.0101663906,111935.756869924,29625.9968328689,0.596350414754712,0.230290272219271,4073.20013797182,145,866,25,0,13135.7068350501,0,4668.28459494706,241.650939192665,-4151.84527829104,0,633.679892245086,0,36,241.650939192665,61.3446568187304,165.857025727952,15.6181965294721,12.4945572235777,976.934378253065,33387.7364537123,1546.52035525279,10213.7262873218,226.560133066989,0.799332653177782,127,0.37107657434996,1.3990666963808,11.0226490700929,10.4314184478051,16563.9066574443,9.20225880290665,123.856513854933,0.995999507989959,0.993051609547194,1011,3,274.788377463354,686.970943658384,2.10344827586207,2,1,5
0.0216962524654832,13.4844562747377,22.9788543433017,23641.6613281363,103945.916176938,33944.7267505772,0.586820216242347,0.234149972411893,4486.11036272599,169,845,25,1,17353.2865472372,0,4871.23733182069,295.183914407023,-4217.57971218707,0,671.135171615993,0,42,295.183914407023,56.0032817449418,154.563926047056,16.1441337354609,12.9153069883687,962.189589313374,32880.8629561171,1430.91828969714,9239.20162798082,396.313577910427,0.896801554225759,157,0.301047142453485,1.55355868529231,11.0425034997374,9.95246986526195,15217.7459094105,8.67972121194801,126.735978449017,0.995952217355168,0.99345667205861,1014,3,358.4737052266,896.184263066499,2.63905325443787,3,1,6
0.0255653883972468,14.2774750616222,24.8331907963851,24785.0147348232,95378.616214276,38540.7696876545,0.574935181656178,0.239429934251421,4978.11994979234,193,824,25,1,21732.3198003137,0,5111.67614099138,289.859345129752,-4379.03325307653,0,740.967344395009,0,40,289.859345129752,50.6161731259707,142.563535519155,16.5243658609223,13.2194926887379,936.563726636287,32202.4168565374,1296.74906139025,7417.40212171414,565.412644423127,0.979876780424452,187,0.266235629488101,1.66998807704079,7.49436714883884,9.65154113588608,14841.4321488703,8.54944730319378,134.227034323199,0.995408729075055,0.994743499124393,1017,3,442.783542785097,1106.95885696274,3.17616580310881,3,1,7
0.00588235294117645,15.148939003935,27.8017768090105,25415.3776057981,87323.4339978095,42417.5903528925,0.544891037288858,0.247734246122039,5605.03248775816,217,803,25,1,26496.6722093363,0,5441.80542871009,147.97254546746,-4764.35240902258,0,787.685167195601,0,20,147.97254546746,45.5102539515897,132.444375242243,16.9666041361688,13.573283308935,995.680125341837,31704.8095426241,1140.38788817082,6289.43193682597,817.189444797505,1.0544779861194,216,0.230323964711288,1.83264388991946,9.7399385729086,9.37040588348474,13868.1484960589,8.26616621333934,148.193468879002,0.994454754072214,0.996414013934862,1020,3,529.480474220044,1323.70118555011,3.70046082949309,4,1,8
0.00195503421309873,15.8900847668496,29.743464166996,27302.7679897166,78943.1256821283,47230.6725475466,0.534237864077769,0.251367654252071,7134.98650675286,242,781,25,0,31543.8706959332,0,5850.45332834341,183.239324670623,-5047.19848659688,0,846.68200205822,0,24,183.239324670623,40.4415564372204,120.004555856034,18.2238397746827,14.5790718197462,1011.95643789619,31780.3385182656,1068.48140955719,4477.57052854897,1107.5220199385,1.12068879643056,242,0.20462176254799,1.99681666331681,8.95824738785269,8.20064883777857,13673.1471102436,7.95770841598214,157.53703343912,0.994255212227233,0.997655735712029,1023,3,620.01551707591,1550.03879268978,4.21487603305785,4,1,9
0.00194931773879148,17.0076119083154,32.3576500241379,27653.3624702871,72020.0892656756,50299.0897853902,0.525613321598701,0.254690108224072,8225.18592156039,263,763,23,2,36686.7601750038,0,6091.55645852281,237.82110905961,-5142.88947907063,0,818.350336963886,0,29,237.82110905961,36.1746853194057,109.369493708089,19.7246394802099,15.7797115841679,1019.80575567737,32121.8410443845,992.712419487279,4468.47857409742,1440.12436292525,1.19241741799371,261,0.167709905495413,2.18884997885533,9.61697280808618,8.43770032560976,12633.740428729,7.77011310624844,168.579187130779,0.99446442657206,0.998652232596054,1026,3,710.845870392571,1777.11467598143,4.76425855513308,5,1,10
