"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,61827.36,29074.55,2.4255,0,0,0,2.4214,0,34,0
2,33669.41,67247.19,2.4886,0,0,0,2.4214,0,19,0
3,64901.87,58839.61,19.7189,0,1,669,7.377,0,0,84
4,47302.98,51579.03,16.7186,0,1,2663,4.3106,0,0,4
5,50452.1,47055.4,23.9636,0,1,1081,3.8913,0,0,16
6,45028.9,54768.16,15.8673,0,1,1948,6.2199,0,0,2
7,61118.75,68870.15,2.4251,0,0,0,2.4214,0,14,0
8,40860.69,61363.62,2.4615,0,0,0,2.4214,0,36,0
9,60757.72,64882.32,21.5736,0,1,2732,9.7045,0,0,25
10,52182.24,24377.25,13.7504,0,1,651,4.4037,0,0,10
11,43683.56,54987.1,2.7344,0,0,0,2.4214,0,7,0
12,55595.98,29340.68,2.4255,0,0,0,2.4214,0,66,0
13,57557.25,39735,11.7735,0,1,1444,4.3729,0,0,11
14,21175.11,84301.93,12.1873,0,1,2545,4.4724,0,0,22
15,21341.44,84703.45,13.1188,0,1,2315,5.5926,0,0,32
16,36623.56,64920.67,2.4255,0,0,0,2.4214,0,42,0
17,54861.51,41263.05,2.4251,0,0,0,2.4214,0,14,0
18,59247.77,70593.29,347.154,0,1,2422,5.4001,18,0,179
19,65971.6,65636.24,21.5868,0,1,2732,9.7045,0,0,47
20,64506.83,35612.68,2.4242,0,0,0,2.4214,0,7,0
21,63119.78,65240.89,19.7379,0,1,2802,7.6007,0,0,2
22,20258.53,84789.98,2.4917,0,0,0,2.4214,0,19,0
23,61508.88,65264.33,2.4255,0,0,0,2.4214,0,77,0
24,67765.8,47901.77,11.5693,0,1,2603,5.5886,0,0,1
25,62814.57,66402.89,2.4252,0,0,0,2.4214,0,16,0
26,42832.38,58265.4,2.4322,0,0,0,2.4214,0,32,0
27,58752.49,71694.63,3.7468,0,0,0,2.4214,0,12,0
28,55847.01,33802.65,2.457,0,0,0,2.4214,0,34,0
29,25048.99,80348.48,21.2491,0,1,48,4.0008,0,0,3
30,68602.9,15763.78,2.4225,0,0,0,2.4214,0,2,0
31,38540.7,60840.09,3.6163,0,0,0,2.4214,0,8,0
32,64977.69,57586.53,2.4253,0,0,0,2.4214,0,19,0
33,59106.64,74122.31,15.6191,0,1,2351,6.0735,0,0,3
34,62434.05,18958.2,2.4255,0,0,0,2.4214,0,73,0
