"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,67145.8,47387.32,33.7808,0,1,904,40.5039,0,0,7
2,44487.97,54861.74,211.9622,0,1,1411,34.8153,0,0,19
3,62279.16,67634.75,183.5559,0,1,3,21.0874,3,0,9
4,57104.92,34741.02,167.6437,0,1,286,36.3399,0,0,17
5,53300.32,45528.9,407.846,0,1,5,33.0997,5,0,15
6,60741.1,29530.13,188.2541,0,1,786,29.5409,0,0,3
7,64208.29,46993.78,109.6004,0,1,1084,37.5029,0,0,24
8,71227.69,16923.84,120.5403,0,1,518,30.0274,0,0,7
9,57763.98,25749.41,200.8095,0,1,344,26.2897,0,0,33
10,23219.6,84763.66,148.611,0,1,709,31.3517,0,0,12
11,65226.09,72688.89,397.0797,0,1,11,34.8666,11,0,8
12,69801.24,14914.72,111.0654,0,1,1126,34.3144,0,0,7
13,58117.83,36734.82,95.8799,0,1,1118,30.4621,0,0,1
14,21664.55,84722.89,106.1132,0,1,939,33.116,0,0,25
15,71821.29,28091.4,143.5689,0,1,1234,48.9471,0,0,12
16,63535.84,35350.69,257.0233,0,0,0,38.1898,0,1,0
17,63384.72,59528.72,301.956,0,1,1020,33.1649,17,0,3
18,71228.44,17581.48,46.9832,0,0,0,13.2146,0,1,0
19,47645.69,62674.75,153.1244,0,1,227,37.8391,0,0,2
20,39145.59,61174.89,105.0864,0,1,781,34.8674,0,0,2
21,56046.7,27974.1,274.6723,0,1,458,35.1113,0,0,14
22,57569.58,33425.26,78.9404,0,1,286,36.3399,0,0,4
23,69916.11,18164.76,62.6423,0,1,1382,29.9265,23,0,1
24,68891.78,47211.16,140.5512,0,1,190,36.1803,0,0,21
25,26682.1,73032.74,87.845,0,1,212,31.1281,0,0,12
26,67449.42,44732.14,97.0293,0,1,579,38.3742,0,0,5
27,55953.33,24755.63,253.2016,0,1,27,23.3968,27,0,6
28,57475.89,32748.91,227.8874,0,1,286,36.3399,0,0,15
29,47952,51086.94,103.8689,0,1,494,29.5595,0,0,21
30,70413.29,46069.06,116.0527,0,1,744,36.5836,0,0,4
31,72162.48,27358.47,210.9132,0,1,199,36.509,31,0,6
32,50042.9,48409.3,129.0352,0,0,0,26.2485,0,1,0
33,38993.43,61739.19,154.7767,0,1,706,32.566,0,0,19
34,65894.07,52939.46,92.4803,0,1,1442,30.0816,0,0,5
35,69945.34,21634.63,65.4406,0,1,778,38.4184,0,0,10
36,35563.23,65029.27,169.3498,0,1,1048,30.5048,36,0,5
37,22828.12,80818.91,105.2658,0,1,66,26.4613,0,0,50
38,38214.73,63049.6,123.155,0,1,1059,31.7183,38,0,2
39,56077.84,39364.35,51.5488,0,1,894,33.7989,0,0,9
40,53646.13,42955.38,142.5385,0,1,77,27.6038,0,0,9
41,64553.87,62821.92,94.0607,0,1,1131,37.3806,0,0,11
42,73171.49,22422.33,109.6863,0,1,667,32.5155,0,0,3
43,67100.71,66930.72,236.1681,0,1,840,19.7145,0,0,20
44,66008.71,46737.17,114.9159,0,1,190,36.1803,0,0,26
45,59612.29,48155.42,243.0676,0,1,1084,37.5029,0,0,14
46,56725.02,59393.78,118.8923,0,1,827,35.7572,0,0,21
47,48059.72,50461.57,544.3438,0,1,1068,32.8307,47,0,19
48,48487.23,47455.28,161.5734,0,1,1068,32.8307,48,0,4
49,33804.46,67602.59,87.859,0,1,629,32.8795,49,0,1
50,55630.3,30499.76,258.0016,0,1,1008,29.5142,0,0,37
51,17950.4,75220.99,142.1394,0,1,389,37.9569,0,0,6
52,25892.55,80968,225.5933,0,1,52,28.0184,52,0,9
53,61422.67,55085.43,91.6292,0,1,702,22.0458,53,0,1
54,68552.08,46957.7,28.8705,0,1,744,36.5836,0,0,1
55,25869.53,84620.24,586.4318,0,1,1450,27.0408,0,0,25
56,29124.26,76006.01,200.7979,0,0,0,36.9244,0,3,0
57,56039.72,41536.83,99.2373,0,1,894,33.7989,0,0,9
58,71496.24,17961.76,143.8639,0,1,1439,34.2745,0,0,20
59,47480.34,52753.67,55.4842,0,1,944,28.9868,0,0,2
60,63820.72,60425.66,191.1247,0,1,1149,27.6184,0,0,13
61,55593.09,40017.6,727.0593,0,1,61,31.0346,61,0,19
62,55358.46,35865.05,204.8801,0,1,62,34.5065,62,0,12
63,53272.5,28019.1,155.8921,0,1,458,35.1113,0,0,16
64,26240.29,70935.39,173.5455,0,1,212,31.1281,64,0,2
65,49618.07,49340.62,136.9919,0,1,756,20.8045,65,0,2
66,23575.34,80859.88,213.8751,0,1,1337,30.6803,66,0,7
67,58451.03,39128.93,131.876,0,1,1118,30.4621,0,0,12
68,53864.21,22170.56,111.5854,0,1,259,27.2224,0,0,11
69,70907.77,24551.65,147.0157,0,1,1096,43.533,0,0,39
70,54050.78,22419.96,144.8019,0,0,0,27.5425,0,1,0
71,50904.49,65992.19,152.3871,0,1,246,26.356,0,0,21
72,25293.22,80849.14,161.9882,0,1,52,28.0184,0,0,17
73,53848,42656.34,49.9748,0,1,825,35.2797,0,0,9
74,63761.84,31633.44,115.5767,0,1,97,14.7445,0,0,32
75,38928.6,62989.38,130.105,0,1,1059,31.7183,0,0,9
76,56358.68,36720.07,182.7689,0,1,713,27.7776,76,0,2
77,55744.26,34374.94,384.705,0,1,458,35.1113,77,0,11
78,54082.33,43594.49,70.8636,0,1,1245,31.2992,0,0,23
79,52649.22,46840.36,79.6785,0,1,964,25.3631,79,0,3
80,57697.51,25464.51,134.4783,0,1,738,27.5091,0,0,10
81,59770.03,21600.89,241.7462,0,1,244,32.7523,81,0,5
82,59968.62,27034.29,135.9309,0,1,529,20.5704,0,0,2
83,65233.31,56456.1,103.1841,0,1,702,22.0458,0,0,50
84,59956.09,69985.09,173.5046,0,1,488,19.4001,0,0,21
85,67066.18,37446.68,190.7429,0,1,651,32.7301,0,0,25
86,26485.71,86126.74,98.7716,0,1,709,31.3517,0,0,12
