"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,67919.38,15838.39,11.077,0,1,2213,5.5125,0,0,2
2,63751.82,19080.91,2.8754,0,0,0,2.7966,0,38,0
3,66683.72,46940.12,299.8308,0,1,3,4.5813,3,0,43
4,69193.14,21395.87,2.8655,0,0,0,2.7966,0,8,0
5,20834.88,86383.19,17.3072,0,1,2464,6.5516,0,0,8
6,53221.61,29861.99,2.8655,0,0,0,2.7966,0,8,0
7,61366.88,67568.43,2.8851,0,0,0,2.7966,0,19,0
8,71084.35,18866.54,19.8145,0,1,1295,4.5761,0,0,3
9,35932.11,63778.71,20.4521,0,1,527,5.5333,0,0,6
10,56594.67,59751.57,2.8754,0,0,0,2.7966,0,263,0
11,28852.19,73162.42,4.6616,0,0,0,2.7966,0,30,0
12,69410.28,45248.74,22.9779,0,1,1943,6.8688,0,0,3
13,30440.07,68796.78,2.8133,0,0,0,2.7966,0,1,0
14,58163.44,37066.07,4.4721,0,0,0,2.7966,0,14,0
15,26854.95,80517.05,34.0838,0,1,723,7.76,0,0,9
16,59227.63,67833.16,16.4181,0,1,2915,7.0452,0,0,15
17,25602.51,77276.41,2.8743,0,0,0,2.7966,0,17,0
18,49668.27,58701.95,2.8754,0,0,0,2.7966,0,219,0
19,55284.09,28608.29,2.869,0,0,0,2.7966,0,7,0
20,60550.97,62093.4,3.7541,0,0,0,2.7966,0,9,0
21,68862.75,46734.92,16.9936,0,1,1943,6.8688,0,0,36
22,55006.92,43393.03,26.4122,0,1,776,5.0559,0,0,13
23,70612.43,14820.86,10.789,0,1,2213,5.5125,0,0,3
24,55850.58,67821.32,14.5277,0,1,2683,6.1812,0,0,10
25,52028.03,26630.44,1.4227,0,1,103,5.9707,0,0,8
26,60793.98,68157.81,2.8754,0,0,0,2.7966,0,35,0
27,66461.16,60841.59,2.8729,0,0,0,2.7966,0,13,0
28,56705.67,24798.42,14.2257,0,1,2910,5.4555,0,0,11
29,25811.83,84603.29,7.4726,0,0,0,2.7966,0,2,0
30,49718.88,53975.47,2.8595,0,0,0,2.7966,0,6,0
31,45632.05,56656.78,3.3495,0,0,0,2.7966,0,21,0
32,44106.82,56452.52,21.7548,0,1,1090,8.499,0,0,34
33,50187.72,46707.27,27.4653,0,1,1338,4.8704,0,0,23
34,63985.68,59261.75,3.0219,0,0,0,2.7966,0,21,0
35,68588.51,42167.16,19.4967,0,1,2815,4.6599,0,0,3
36,26988.93,81293.05,25.2253,0,1,1702,4.8133,0,0,3
37,21311.97,80026.35,18.9813,0,1,723,7.76,0,0,9
38,66571.14,37988.18,2.8954,0,0,0,2.7966,0,77,0
39,53489.3,40408.33,19.5183,0,1,742,5.2504,0,0,13
40,56153.26,33395.71,3.9284,0,1,931,8.2985,0,0,23
41,70666.35,27913.07,20.5403,0,1,1972,7.8072,0,0,23
42,24075.99,81142.91,2.8729,0,0,0,2.7966,0,13,0
43,54744.36,70974.12,2.9574,0,0,0,2.7966,0,57,0
44,59565.1,59565.27,2.8752,0,0,0,2.7966,0,29,0
45,24130.9,77594.79,25.6771,0,1,1738,9.525,0,0,17
46,31816.06,71601.86,18.7963,0,1,375,7.3957,0,0,4
47,24141.39,78704.51,10.8918,0,1,1902,7.5419,0,0,14
48,53893.14,48155.6,182.373,0,1,48,5.8666,48,0,190
49,70389.58,20348.75,7.9274,0,1,2576,9.8048,0,0,13
50,49087.03,48585.43,14.7369,0,1,305,5.4267,0,0,35
51,69552.77,20830.17,9.9886,0,1,2231,6.4237,0,0,15
52,59698.87,67659.51,14.7539,0,1,2683,6.1812,0,0,10
53,20756.87,85172.43,23.329,0,0,0,2.7966,0,1,0
54,63342.37,17062.92,2.8754,0,0,0,2.7966,0,63,0
55,53140.98,24400.22,20.6942,0,1,1966,4.9902,0,0,2
56,59392.41,69503.86,4.4172,0,0,0,2.7966,0,10,0
57,50632.13,48352.67,3.0779,0,0,0,2.7966,0,25,0
58,58883.2,35577.39,2.8754,0,0,0,2.7966,0,43,0
59,71112.19,23672.57,13.0489,0,1,2975,5.3867,0,0,9
60,51685.47,63330.39,2.8754,0,0,0,2.7966,0,239,0
61,51731.54,45323.04,16.883,0,1,1512,4.9991,0,0,2
62,29096.67,74052.33,4.1763,0,0,0,2.7966,0,41,0
63,70397.01,24600.57,2.8133,0,0,0,2.7966,0,1,0
64,69064.26,19239.9,15.3588,0,1,459,9.3893,0,0,45
65,56610.64,39552.38,15.9434,0,1,2800,7.2575,0,0,11
66,60118.67,70686.4,2.8754,0,0,0,2.7966,0,41,0
67,70937.71,23742.31,2.8275,0,0,0,2.7966,0,2,0
68,40286.36,62868,2.8697,0,0,0,2.7966,0,10,0
69,66439.23,51888.36,2.8752,0,0,0,2.7966,0,29,0
70,56840.64,47311.36,9.5344,0,1,496,6.3546,0,0,2
71,63938.95,32061.15,15.7756,0,1,1390,5.6308,0,0,28
72,24699.42,76415.96,25.8811,0,1,1738,9.525,0,0,50
73,26698.81,74550.22,4.1671,0,0,0,2.7966,0,30,0
74,58534.01,72035.98,2.8391,0,0,0,2.7966,0,3,0
75,56730.34,24384.68,14.2269,0,1,2910,5.4555,0,0,11
76,54782.03,46275.73,23.8352,0,1,776,5.0559,0,0,15
77,32587.44,66548.43,17.7814,0,1,541,6.2292,0,0,71
78,48376.47,46852.52,21.3657,0,1,1338,4.8704,0,0,4
79,58992.61,73050.22,18.2523,0,1,2208,7.5028,0,0,9
80,59104.34,26429.33,2.8543,0,0,0,2.7966,0,5,0
81,70729.28,19527.11,11.9156,0,1,293,8.1919,0,0,11
82,56157.79,39862.7,15.9947,0,1,887,6.0622,0,0,85
83,60026.08,67964.08,3.2227,0,0,0,2.7966,0,7,0
84,66210.32,19614.61,3.5653,0,0,0,2.7966,0,23,0
85,68722,47723.61,3.923,0,0,0,2.7966,0,6,0
86,29228.6,74914.94,3.0115,0,0,0,2.7966,0,41,0
87,70351.23,24839.53,14.3394,0,1,2975,5.3867,0,0,11
88,46948.41,53739.27,3.335,0,0,0,2.7966,0,8,0
89,40845.45,61324.16,2.8751,0,0,0,2.7966,0,25,0
90,56518.74,18386.32,2.8736,0,0,0,2.7966,0,14,0
91,62522.9,67832.64,21.5397,0,1,957,8.4807,0,0,14
92,22057.88,85674.85,2.8391,0,0,0,2.7966,0,3,0
93,57768.26,25237,2.8275,0,0,0,2.7966,0,2,0
94,59862.66,66730.95,22.3234,0,1,2609,9.5287,0,0,10
95,55498.86,24015.32,16.2339,0,1,1966,4.9902,0,0,14
96,53772.62,68061.22,2.8756,0,0,0,2.7966,0,44,0
97,71336.11,19529.44,25.2038,0,1,1295,4.5761,0,0,10
98,37721.3,61049.37,3.605,0,0,0,2.7966,0,21,0
99,66405.98,52384.98,40.9405,0,1,99,7.0057,99,0,157
100,56122.41,34408.95,28.3047,0,1,1591,10.7084,0,0,53
101,57753.32,46164.88,2.8477,0,0,0,2.7966,0,4,0
102,54058.09,23940.08,25.8561,0,1,1966,4.9902,0,0,17
103,51607.05,25308.47,12.1015,0,1,103,5.9707,103,0,211
104,20924.24,84771.03,14.9921,0,0,0,2.7966,0,5,0
105,57674.41,18951.67,2.8133,0,0,0,2.7966,0,1,0
106,55267.41,39475.51,15.9663,0,1,887,6.0622,0,0,14
107,64965.99,56575.94,23.1213,0,1,2121,9.9886,0,0,21
108,51074.55,47862.67,23.1672,0,1,48,5.8666,0,0,24
109,70008.45,17119.76,8.0826,0,1,2576,9.8048,0,0,94
110,70630.28,37521.32,2.8754,0,0,0,2.7966,0,221,0
111,66093.91,53382.23,85.565,0,0,0,2.9653,111,0,98
112,63899.91,34235.5,14.8545,0,1,1390,5.6308,0,0,26
113,54155.49,41085.66,7.2128,0,0,0,2.7966,0,4,0
114,55174,41375.52,23.2606,0,1,2445,4.7688,0,0,25
115,64977.77,62378.48,3.072,0,0,0,2.7966,0,22,0
116,58960.59,26248.24,10.2058,0,1,2961,8.8397,0,0,28
117,57759.41,46794.26,2.8477,0,0,0,2.7966,0,22,0
118,47554.31,49813,13.11,0,1,305,5.4267,0,0,10
119,62200.93,63295.11,2.8543,0,0,0,2.7966,0,5,0
120,66721.5,45908.96,4.6514,0,0,0,2.7966,0,4,0
121,59924.77,46228.87,2.8754,0,0,0,2.7966,0,50,0
122,55863.02,37150.97,2.8477,0,0,0,2.7966,0,4,0
123,69446.03,14199.93,2.8477,0,0,0,2.7966,0,4,0
124,21358.83,87414.12,23.4882,0,1,2464,6.5516,0,0,21
125,63497.61,32970.03,1152.6278,0,1,125,6.0303,125,0,207
126,54882.63,31307.9,2.8744,0,0,0,2.7966,0,18,0
