"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","lg_debt_repay","g_share_current","gov_transf_t","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","bank_NW","bank_R","bank_new_loans","bank_dep_int_total","bank_loan_int_total","bank_profit","bank_dividend","bank_bad_debt","bank_headroom","total_M","sfc_check","period"
0.960666666666667,10.5207069476144,14.4584904887483,0,89370.8738212724,359.025296387707,0.72764905546687,0.140685290587597,521.362722418216,30,1470,0,0,97935.8580794043,198176.395696817,62.5806492216066,235,1168.28063568702,995.861284908629,995.861284908629,0.8,5,0,0,47,235,42.0853612401822,76.588125196155,11.0817989699026,8.86543917592205,58.9579962502888,9404.91809318978,650.477178133414,9404.91809318978,58.9579962502888,0.374,1,0,1,0,0,0,10.5207069476144,0,0.999216850241044,0.999288072038793,1500,0,0,3.12903246108033,0,0,1,0,0,0,11031.6470355389,-0.00332746098865755,0,189.077937967514,1001.17408438979,812.096146422279,406.048073211139,0,137374.225221818,187665.757197064,-0.00332746098865755,1
0.718,11.1792639238935,16.1323173798106,992.073514300564,94039.1191164959,594.110500193026,0.692973220194902,0.13530605045777,4403.89312063495,67,1433,37,0,95481.5236379735,197185.513718333,499.493657457948,1070,1561.38832102614,990.881978484086,990.881978484086,0.8,5,123.093027017527,0,214,1070,45.6277915313084,80.6485466658528,11.9477538108317,9.5582030486654,423.141579283152,13723.0955207544,850.658662216048,12731.0220064538,423.141579283152,0.441316846662043,8,0.125686939414534,1,0,0,992.073514300564,11.1792639238935,0,1.00018358241847,1.00033470279705,1500,0,0,27.9472637109237,0.447761194029851,0,1,0,992.073514300564,0,11438.8934420233,224.497247111663,3900.14871567823,191.565905912743,1006.05871888163,814.492812968885,407.246406484442,0,138582.274904657,190114.753254662,224.497247111663,2
0.522666666666667,11.4820652794095,16.4975047085293,7186.13252192541,96288.6774184139,5645.33771105084,0.695987998322754,0.14283919004356,11206.1658049379,99,1401,32,0,93540.192437664,196199.586149741,1170.04241323582,1235,1050.88515535585,985.927568591666,985.927568591666,0.8,5,348.251647052844,0,247,1235,46.9289800064697,84.6710914229834,12.1786601076472,9.74292808611777,716.36598893581,17992.6812243308,1090.63046455919,10806.5487024054,716.36598893581,0.44143881724193,10,0.534045207975198,1.00288865257992,0.288865257991655,-0.0915153337928332,7165.43407230622,11.4489931159078,0,1.00042030680832,1.00051115773158,1500,0,0,85.0520211871685,0.97979797979798,1,1,0,7186.13252192541,0,11861.0963298453,192.025495073118,6960.17828149944,197.074931536162,1041.48070717997,844.40577564381,422.202887821905,0,137057.538318128,195474.207567129,192.025495073118,3
0.325333333333333,11.6407095162623,16.5034312776314,12064.9551982198,97258.9033486251,10000.7141751502,0.705350864340558,0.152714624149504,16614.0874791709,121,1379,22,0,92100.2429141836,195218.588218993,1526.54776252915,1030,552.491785169297,980.997930748707,980.997930748707,0.8,5,347.201632271881,0,206,1030,46.7607455908385,87.374634550925,12.2655945844901,9.81247566759211,988.711316511435,21629.6377226675,1310.61458425219,9564.68252444772,991.604986438632,0.428174325506903,11,0.654575530524888,1.01022828135581,0.731848820605641,-0.483737965790874,11942.8008707375,11.5228505587267,0,1.00089721784605,1.00085307031553,1500,0,68.0416169497348,157.126808254267,1.6198347107438,2,1,5,12132.9968151695,0.00560798111021215,12311.8143921739,32.7452874918818,5701.04347304121,201.17525104017,1102.61137569743,901.436124657256,450.718062328628,0,137283.592423003,199359.860437959,32.7452874918818,4
0.251333333333333,11.7810622251773,16.3202200743673,16002.4640784758,96749.6292362839,13168.083967292,0.721869078449544,0.158530154401814,19614.5966145711,127,1373,6,0,90863.8777631021,194242.495277898,1894.42193479762,1145,352.372452900761,976.092941094964,976.092941094964,0.8,5,590.464060300425,0,229,1145,46.101481051155,87.8543956369354,12.3861114793404,9.90888918347232,1065.70247463878,23107.0660534458,1415.85505269858,7104.60197496996,1080.12343251066,0.398448615015618,15,0.833228973456351,0.995294170143278,-1.47829074756146,-0.737656435379428,16078.1249991368,11.8367640227224,0,1.00065503596575,1.00068260908401,1500,0,125.701446603414,243.991564581435,2.49606299212598,3,1,9,16128.1655250792,0.00779390851414246,12783.0989949909,-241.284730802698,3389.17515576745,202.749035593726,1145.31824122782,942.569205634094,471.284602817047,0,140174.140822816,200781.590966678,-241.284730802698,5
0.184666666666667,11.9506851380369,16.1550033765882,16937.5472448677,96576.3666128963,14406.8310664524,0.739751324060742,0.16556645969959,21002.2262195755,136,1364,9,0,89526.2173521196,193271.282801508,1949.09391569856,1240,457.31181235608,971.212476389489,971.212476389489,0.8,5,490.866766107774,0,248,1240,45.2028865202508,88.7153603726062,12.5468993424516,10.0375194739613,1135.15666753494,24444.833308229,1513.14318780363,7507.28606336131,1152.54372320125,0.368652793113436,23,0.820534499722167,0.975775325191983,-1.9611131599902,-1.10801415029568,17358.0401221308,12.2473737852365,0,1.00090860799547,1.00102769672648,1500,0,195.193251665148,329.246682137291,3.26470588235294,3,1,10,17132.7404965329,0.0113929964505474,13268.0620801869,-424.02182721399,1799.028656499,202.580619623177,1172.50679001511,969.926170391929,484.963085195964,0,144848.549782761,200509.415031468,-424.02182721399,6
0.202666666666667,11.880067143484,16.1364020190706,14469.1793871956,96030.3215884648,12613.4605886881,0.736227761891637,0.175797315762521,18663.5543092798,128,1372,21,29,88131.0799759917,192304.926387501,1782.44505877116,1090,518.307179472541,966.356414007542,966.356414007542,0.8,5,361.661158662995,0,218,1090,42.9505527478453,88.8256809650604,12.0094380258745,9.60755042069962,1135.49204497998,24941.1580630481,1545.64555553163,10471.9786758525,1135.49204497998,0.378998007427342,22,0.709281043099055,0.963386956330232,-1.26959234794277,-1.37144708871433,15019.073376613,12.331563205649,0,1.0011262529579,1.0010576631634,1500,0,244.395824236155,401.906600968984,3.171875,4,1,4,14713.5752114318,0.0166102269995038,13434.5810636105,-608.518016716727,3172.225658831,198.816402272136,1137.35309254812,938.536690275981,469.268345137991,302.749361714413,149268.708985851,196774.862153145,-608.518016716727,7
0.162,11.8315517412824,15.607901078465,17789.9073985322,95406.8848493433,15291.4570014787,0.758048867801123,0.179474750014243,21359.4855298764,135,1365,7,0,87033.887382449,191343.401755563,2049.32214791066,1015,223.799041581206,961.524631937504,961.524631937504,0.8,5,723.757459958253,0,203,1015,42.439953640419,88.8640340211326,12.090156575625,9.67212526050001,1131.62414607712,25380.1327608223,1626.10799704775,7590.22536229005,1131.62414607712,0.344954638079467,23,0.846274667061692,0.948329956960764,-1.56292331658963,-0.905473765480433,18759.1958557819,12.4761973977923,0,1.00130862484817,1.00143339510464,1500,0,296.596557554367,484.277378316068,3.95555555555556,5,1,8,18086.5039560866,0.0163987776894028,13910.9412146288,-1018.2842137244,3123.506843737,199.898368996882,1152.61867103357,952.72030203669,476.360151018345,0,152527.279652984,197732.229233271,-1018.2842137244,8
0.2,11.7210005376258,15.7721708119539,12993.6873078751,95613.2459205932,11869.1472002539,0.743144407790859,0.187301458497003,18255.6715761426,126,1374,26,35,85812.9138825555,190386.684746785,1609.56712972516,995,351.290378498066,956.717008777816,956.717008777816,0.8,5,280.612613887057,0,199,995,41.2609238952654,89.6619007073408,11.6961983797882,9.35695870383057,1141.48794401604,25229.8331642068,1599.64239957918,12236.1458563317,1141.48794401604,0.363607731970717,16,0.642698265724787,0.942779231208601,-0.585315871487591,-0.125544499641295,13782.322390808,12.4323915394275,0,1.00095576230809,1.00102321786246,1500,0,9.1404994454062,540.541865886523,3.36507936507937,3.5,1,2,13002.8278073205,0.000702962431007521,14257.3708390688,-918.018374665378,2863.55764036425,195.079888185352,1130.73975567341,935.659867488058,467.829933744029,121.400309304045,159961.463912217,193295.307003403,-918.018374665378,9
0.242666666666667,11.3775983433666,15.5829431615292,13740.8484702879,94827.5723189707,12063.4953752246,0.730131543536356,0.193942995528252,17811.5361893806,126,1374,27,27,84817.9240783088,189434.751323052,1936.98248630616,1055,128.869294395331,951.933423733927,951.933423733927,0.8,5,854.120323888034,0,211,1055,40.060528188067,89.8694731256579,11.4134603543805,9.13076828350436,1018.36835904509,25024.2880886475,1605.87687635458,11283.4396183596,1018.36835904509,0.386374306051253,25,0.710805323849998,0.950807711635822,0.851575868608023,-0.376987342582289,14451.7638026383,11.9662453344978,0,1.00126729905022,1.00134742411399,1500,0,58.9183569675685,610.363896907505,2.86507936507937,3,1,2,13799.7668272555,0.00426951829730926,14366.0129885194,-1001.95236731277,4685.13448314734,193.514916940002,1103.88395272934,910.369035789339,455.184517894669,346.542368444108,161763.626167111,191708.991772504,-1001.95236731277,10
0.28,11.2795779547182,15.5928288267175,13516.016573266,94475.9741660875,12470.8105617055,0.723382400978531,0.204991264584454,17319.4430692668,121,1379,14,19,83324.1160689775,188487.577566436,1658.99742839973,1225,631.452176794385,947.173756615258,947.173756615258,0.8,5,534.853522011773,0,245,1225,38.7104279033901,91.0480057373061,10.8271688560448,8.66173508483582,1012.35570355569,24537.3127740374,1573.62804701569,11021.2962007713,1012.35570355569,0.401716561932215,16,0.741296431761919,0.969239434501246,1.93853316920549,-0.148083464610687,13944.9717914348,11.6375557506309,0,1.00130211186279,1.00130539869735,1500,0,118.27584857886,662.795573482116,2.92561983471074,2,1,2,13634.2924218449,0.008674879848503,14238.252854023,-1237.80781032817,3406.07026212134,192.134357023504,1098.52656180546,906.392204781954,453.196102390977,580.956236887332,160658.717606021,190270.900796771,-1237.80781032817,11
0.258,11.2270186921721,15.3152216099711,14481.9129296129,96703.1200953536,10838.4908320943,0.733062764489327,0.205439916495168,18212.6304770889,131,1369,19,9,82280.7991888828,187545.139678604,1878.23477950069,1120,184.20310833149,942.437887832181,942.437887832181,0.8,5,760.594787817714,2715.02786932875,224,1120,39.2684296466197,93.3395678687955,11.0933754930162,8.87470039441298,1001.53054950745,24521.4031349761,1601.11317742939,10039.4902053632,1001.53054950745,0.387246780132232,21,0.765908532336894,0.944748628862498,-2.52680656264774,0.0917502508849055,15328.8530802627,11.8836041134981,0,1.00166588326313,1.00170856754191,1500,0,0,723.567533783045,3.11450381679389,3,1,0,14481.9129296129,0,14627.8903704226,-1247.26352358202,2458.32356618829,191.588434366517,1115.37774717521,923.789312808695,461.894656404347,72.2571400047162,164635.999153194,189822.410116331,-1247.26352358202,12
