"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,26328.27,83840.09,52.2879,0,0,0,7.2942,0,3,0
2,55869.78,65165.03,101.6495,0,1,2,11.9074,2,0,4
3,39099.35,59744.45,50.3539,0,0,0,7.2942,0,4,0
4,58872.79,36856.81,85.0848,0,1,1466,11.518,0,0,4
5,69466.14,17214.42,51.8537,0,1,571,12.3856,0,0,3
6,39319.75,61683.49,94.1718,0,1,55,9.0257,0,0,2
7,28983.22,73932.58,91.3727,0,1,1362,9.28,0,0,28
8,56076.45,36557.83,65.2342,0,1,1228,8.8636,0,0,2
9,23922.22,83278.86,91.6347,0,1,1279,9.2457,0,0,2
10,64138.75,59423.66,64.4349,0,1,422,11.9816,0,0,7
11,53553.08,43761.27,51.8388,0,0,0,7.2942,11,0,0
12,66907.25,38999.46,84.7083,0,1,12,11.3648,12,0,13
13,64105.66,62477.41,33.1405,0,1,959,12.7337,0,0,9
14,32663.71,68268.65,118.3185,0,1,128,11.9698,14,0,2
15,41968.93,57918.17,87.4988,0,1,336,15.4008,0,0,28
16,31379.15,69951.98,65.117,0,1,16,11.3394,16,0,4
17,54097.36,22313.04,60.9706,0,1,1062,12.3836,0,0,11
18,25850.53,75302.05,53.2158,0,0,0,7.2942,0,1,0
19,66724.15,48832.38,45.8021,0,1,53,15.422,0,0,2
20,62132.85,39993.91,27.1673,0,0,0,7.2942,0,3,0
21,21027.47,86162.79,87.1961,0,1,579,9.3288,0,0,10
22,58161.85,66621.11,95.3598,0,1,1344,11.4076,0,0,16
23,49639.7,55795.8,46.7969,0,0,0,7.2942,0,18,0
24,68464.8,15531.46,83.3361,0,1,168,17.1863,0,0,24
25,55580.11,26819.39,82.6886,0,1,164,12.9462,0,0,11
26,35670.78,61769.93,57.341,0,1,597,9.0579,0,0,2
27,25485.84,79954.63,99.6835,0,1,991,10.8094,0,0,24
28,26170.73,76698.62,95.4284,0,1,586,11.9586,0,0,8
29,54482.47,38072.38,111.7627,0,1,29,15.5893,29,0,3
30,64051.73,48693.44,26.8598,0,1,494,16.8915,0,0,45
31,54235.14,41662.44,47.5281,0,0,0,7.2942,0,4,0
32,71129.4,25457.01,41.0912,0,1,237,11.3037,0,0,5
33,66558.89,54384.26,119.9063,0,1,854,11.9771,0,0,17
34,23129.24,82305.24,79.0312,0,1,449,9.5214,0,0,6
35,66317.45,66181.42,53.3246,0,1,297,14.0354,0,0,7
36,61561.04,46325.53,44.9426,0,1,1157,11.9509,0,0,3
37,70991.67,18338.92,101.3061,0,1,921,9.9402,0,0,3
38,58949.2,72287.91,55.8239,0,1,843,14.2064,0,0,6
39,28943.38,71686.35,74.1808,0,1,771,11.7782,0,0,1
40,37765.97,64527,54.9798,0,1,132,8.9859,0,0,8
41,27550.76,74992.52,48.8059,0,0,0,13.0731,0,2,0
42,52151.31,45289.39,71.8329,0,1,1016,9.5445,0,0,30
43,55577.03,46611.14,73.5089,0,1,369,13.295,0,0,12
44,52099.29,23697.49,77.928,0,1,634,11.5469,0,0,3
45,58401.87,60086.37,32.9611,0,1,709,13.0335,0,0,11
46,66129.22,46324.69,82.1227,0,1,53,15.422,0,0,13
47,71880.38,18367.92,115.7695,0,1,718,14.2608,0,0,5
48,30651.56,68327.18,78.5094,0,1,805,14.2343,0,0,15
49,55339.4,35171.94,68.1501,0,1,209,9.4523,0,0,1
50,52946.74,25852.05,44.4657,0,1,1052,11.2689,0,0,11
51,58393.22,41571.74,74.7697,0,1,1376,15.4731,0,0,6
52,49005.43,48558.31,103.2931,0,1,693,15.2467,0,0,9
53,65253.66,46936.13,105.2403,0,1,835,9.1627,53,0,1
54,19584.77,85555.18,61.2341,0,1,1469,12.0109,0,0,5
55,39941.41,61708.15,173.6233,0,1,55,9.0257,55,0,3
56,51058.21,44711.76,65.1449,0,1,1016,9.5445,0,0,1
57,72618.46,29146.94,53.5754,0,1,791,9.0583,0,0,5
58,52292.22,44478.9,128.101,0,1,29,15.5893,58,0,7
59,61189.89,65259.13,50.9298,0,1,1393,11.9298,0,0,23
60,44795.74,54864.38,90.5173,0,1,672,11.41,0,0,7
61,71029.26,22693.85,28.5734,0,1,571,12.3856,0,0,5
62,61165.34,63952.91,94.4282,0,1,709,13.0335,0,0,51
63,38504.21,64181.5,114.4026,0,1,63,11.9007,63,0,4
64,72426.68,15253.43,119.588,0,1,1304,13.2215,0,0,11
65,68804.33,47546.32,73.2192,0,1,719,11.5051,0,0,3
